neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
ADFL,Sensory neuron,GS,-0.583002205935552,0.762688614540466,3
ADFR,Sensory neuron,GS,-0.5743469928073,0.69692617064062,3
ADLL,Sensory neuron,GS,0.319379869832096,0.36962890625,2
ADLR,Sensory neuron,GS,-0.67364997754501,0.653061224489796,3
AFDL,Sensory neuron,GS,-0.772952962282721,0,1
AFDR,Sensory neuron,GS,-0.839154952107861,0,1
ALML,Sensory neuron,GS,-0.589748077458188,0.559171597633136,2
ALMR,Sensory neuron,GS,-0.320515259488146,0.523668639053254,2
ALNL,Sensory neuron,GS,-1.27797172294482,0.631578947368421,3
ALNR,Sensory neuron,GS,-0.89187754682856,0.46124763705104,2
AQR,Sensory neuron,GS,-0.0961545778464439,0.719478737997256,3
ASEL,Sensory neuron,GS,0.551086834220088,0.240555555555556,2
ASER,Sensory neuron,GS,0.981399768083501,0.381920415224913,2
ASGL,Sensory neuron,GS,-0.772952962282721,0,1
ASGR,Sensory neuron,GS,-0.541245997894729,0.32,2
ASHL,Sensory neuron,GS,0.418682854569807,0.514757969303424,2
ASHR,Sensory neuron,GS,-0.00641030518976305,0.681929067367236,3
ASIL,Sensory neuron,GS,-0.541245997894729,0.119140625,2
ASIR,Sensory neuron,GS,-0.475044008069589,0.322427126710292,2
ASJL,Sensory neuron,GS,-0.971558931758142,0,1
ASJR,Sensory neuron,GS,-0.772952962282721,0,1
ASKL,Sensory neuron,GS,0.319379869832096,0.0867768595041323,2
ASKR,Sensory neuron,GS,0.286278874919526,0.334324806662701,2
AUAL,Sensory neuron,GS,0.396866336333003,0.565555555555556,2
AUAR,Sensory neuron,GS,0.197923057194351,0.540466392318244,2
AVM,Sensory neuron,GS,0.621799603407003,0.046485260770975,1
AWAL,Sensory neuron,GS,-0.70675097245758,0.548483045806068,2
AWAR,Sensory neuron,GS,-0.144034058943887,0.245538128718226,2
AWBL,Sensory neuron,GS,-0.737439876382056,0.378698224852071,2
AWBR,Sensory neuron,GS,-0.60744798771987,0.410714285714286,2
AWCL,Sensory neuron,GS,1.6434196663349,0.13265306122449,2
AWCR,Sensory neuron,GS,1.37861170703434,0.28959679215861,2
BAGL,Sensory neuron,GS,-0.199963501082953,0.526234567901235,2
BAGR,Sensory neuron,GS,0.277500368849812,0.621114188981225,2
DVA,Modulatory neuron,GS,-0.518272747704796,0.647923875432526,3
FLPL,Sensory neuron,GS,-0.544392788323926,0.592253227821741,2
FLPR,Sensory neuron,GS,-0.930486964440186,0.69125,3
IL2DL,Sensory neuron,GS,0.448121824259019,0.435491172476234,2
IL2DR,Sensory neuron,GS,1.22486631964132,0.112264513648597,2
IL2L,Sensory neuron,GS,0.567620977394758,0.380408163265306,2
IL2R,Sensory neuron,GS,0.448121824259019,0.486530612244898,2
IL2VL,Sensory neuron,GS,0.567620977394758,0.337777777777778,2
IL2VR,Sensory neuron,GS,1.04561758993771,0.23683198769704,2
OLLL,Sensory neuron,GS,0.99369617374896,0.535308475717532,2
OLLR,Sensory neuron,GS,0.834541550438038,0.548076923076923,2
OLQDL,Sensory neuron,GS,0.268873094555411,0.557851239669422,2
OLQDR,Sensory neuron,GS,0.0896243648518038,0.557823129251701,2
OLQVL,Sensory neuron,GS,0.0896243648518038,0.526315789473684,2
OLQVR,Sensory neuron,GS,-0.268873094555411,0.626038781163435,3
PLNL,Sensory neuron,GS,-1.20075288772157,0.473372781065089,2
PLNR,Sensory neuron,GS,-1.3937999757797,0.657777777777778,3
SAADL,Sensory neuron,GS,0.382233234355097,0.33313503866746,2
SAADR,Sensory neuron,GS,0.0733578934620893,0.0570934256055363,2
SAAVL,Sensory neuron,GS,0.420842651966723,0.2558001189768,2
SAAVR,Sensory neuron,GS,1.50190634509225,0.310532544378698,2
SDQL,Sensory neuron,GS,-0.993597304413252,0.72,3
SDQR,Sensory neuron,GS,-0.81410875909989,0.670138888888889,3
URBL,Sensory neuron,GS,-0.83658199432664,0.552930056710775,2
URBR,Sensory neuron,GS,-0.995736617637562,0.5639500297442,2
URXL,Sensory neuron,GS,0.516232303816195,0.594326522515374,2
URXR,Sensory neuron,GS,0.635598271299386,0.58628960989774,2
URYDL,Sensory neuron,GS,-0.478269317182666,0.516528925619835,2
URYDR,Sensory neuron,GS,-0.517889260617916,0.574364521362899,2
URYVL,Sensory neuron,GS,-0.610335795300167,0.558823529411765,2
URYVR,Sensory neuron,GS,-0.636749090923667,0.577777777777778,2
ADAL,Interneuron,GS,-0.589748077458188,0.749433106575964,3
ADAR,Interneuron,GS,-0.0961545778464439,0.656899810964083,3
AIAL,Interneuron,GS,2.60334851879944,0.1171875,5
AIAR,Interneuron,GS,1.84202563581033,0.637777777777778,3
AIBL,Interneuron,GS,1.80892464089776,0.640349137075977,3
AIBR,Interneuron,GS,0.961374498529487,0.693571950328707,3
AINL,Interneuron,GS,-1.51298914339806,0.607897153351699,2
AINR,Interneuron,GS,-1.07531392929302,0.493197278911565,2
AIYL,Interneuron,GS,0.253177880006956,0.677685950413223,3
AIYR,Interneuron,GS,1.01450076299607,0.553242117787031,2
AIZL,Interneuron,GS,1.23164042181087,0.587658592848904,2
AIZR,Interneuron,GS,1.97442961546061,0.577957274949516,2
AVAL,Interneuron,GS,0.575280322413227,0,1
AVAR,Interneuron,GS,0.806936828082983,0,1
AVBL,Interneuron,GS,1.74360301161551,0,1
AVBR,Interneuron,GS,3.85259341904751,0,5
AVDL,Interneuron,GS,-0.589748077458188,0,1
AVDR,Interneuron,GS,-0.541245997894729,0,1
AVEL,Interneuron,GS,2.38629912771952,0,1
AVER,Interneuron,GS,2.46587643937499,0,1
AVJL,Modulatory neuron,GS,0.35256678543696,0.142011834319527,2
AVJR,Modulatory neuron,GS,-0.500003804801507,0.142011834319527,2
BDUL,Interneuron,GS,0.0384618311385773,0.27,2
BDUR,Interneuron,GS,0.0833339674669177,0.449931412894376,2
PVCL,Interneuron,GS,0.801288148720364,0.4825,2
PVCR,Interneuron,GS,1.38462592098879,0.556813037573563,2
PVPL,Interneuron,GS,0.0384618311385773,0.306228373702422,2
PVPR,Interneuron,GS,-0.500003804801507,0.602040816326531,2
PVR,Interneuron,GS,0.149373941419673,0.517685950413223,2
PVT,Interneuron,GS,-0.0408088777720313,0.401425707284473,2
RIAL,Interneuron,GS,3.02149235293112,0.0434318539075084,5
RIAR,Interneuron,GS,3.28562530916612,0.0485359616589612,5
RIBL,Interneuron,GS,1.67010332282038,0.603298611111111,2
RIBR,Interneuron,GS,1.19263945288761,0.60387811634349,2
RIFL,Interneuron,GS,-0.185898850503125,0.5703125,2
RIFR,Interneuron,GS,0.262822512780279,0.330246913580247,2
RIGL,Interneuron,GS,1.07327348540442,0.595516762547114,2
RIGR,Interneuron,GS,1.27221676454307,0.537201953461649,2
RIH,Interneuron,GS,2.65885615727018,0.71045506157743,6
RIML,Interneuron,GS,2.11965702687827,0.697145061728395,3
RIMR,Interneuron,GS,0.420842651966723,0.717105263157895,3
RIPL,Interneuron,GS,1.22486631964132,0,1
RIPR,Interneuron,GS,1.82236208532001,0,1
RIR,Interneuron,GS,-0.319329468566144,0.723562152133581,3
IL1DL,Motor neuron,GS,-0.557509204053166,0.43213296398892,2
IL1DR,Motor neuron,GS,-0.746869707098365,0.493827160493827,2
IL1L,Motor neuron,GS,-0.438649373747415,0.237777777777778,2
IL1R,Motor neuron,GS,-0.491475964994416,0.384444444444444,2
IL1VL,Motor neuron,GS,-0.448121824259019,0.497777777777778,2
IL1VR,Motor neuron,GS,-0.806619283666234,0.42603550295858,2
RIVL,Motor neuron,GS,-0.570715851864916,0.350694444444444,2
RIVR,Motor neuron,GS,-0.544302556241416,0.35538752362949,2
RMDDL,Motor neuron,GS,0.393369438392843,0.357142857142857,2
RMDDR,Motor neuron,GS,0.499022620886845,0.095,2
RMDL,Motor neuron,GS,0.314129551522343,0.157407407407407,2
RMDR,Motor neuron,GS,0.314129551522343,0.35595567867036,2
RMDVL,Motor neuron,GS,0.736742281498347,0.172335600907029,2
RMDVR,Motor neuron,GS,0.631089099004346,0.18,2
RMED,Motor neuron,GS,-0.636749090923667,0,1
RMEL,Motor neuron,GS,0.0298747882839346,0,1
RMER,Motor neuron,GS,0.507871400826888,0.444444444444444,2
