cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASIL,sensory,GS,1,6,7,2,34,36,629,0.00494917067950776,155.856728307185,0.00122632996811117,Inf,0.00822692196879105,0.285714285714286,0.00912006488218512,0.273809523809524
ASIR,sensory,GS,0,5,5,0,18,18,0,0,0,0,Inf,0.00533039292945958,0.2,0.00640392262054895,0.25
ASJL,sensory,GS,0,4,4,0,43,43,0,0,0,0,Inf,0.00513367055810375,0.166666666666667,0.00376992394988365,0.0833333333333333
ASJR,sensory,GS,1,5,6,1,28,29,0,0,68.4770808950068,0.000538799302041095,Inf,0.00244498735407611,0.2,0.00353595300045287,0.255555555555556
AWAL,sensory,GS,2,9,11,11,107,118,3952,0.0310955843011362,786.742018675431,0.0061903347077348,Inf,0.0148722588432461,0.292452830188679,0.0220231496001518,0.424528301886792
AWAR,sensory,GS,3,6,9,6,120,126,0,0,188.282070113057,0.00148146279949216,Inf,0.0247738103046864,0.46969696969697,0.0299520965732128,0.651515151515151
ASGL,sensory,GS,3,5,8,18,83,101,31,0.000243917791835835,63.6189333550186,0.00050057386267443,Inf,0.00978030859083958,0.166666666666667,0.00517569903122329,0.157407407407407
ASGR,sensory,GS,6,3,9,18,67,85,0,0,69.4737578807585,0.000546641471381035,Inf,0.0181513124563166,0.484848484848485,0.0194509426893266,0.568181818181818
AWBL,sensory,GS,3,6,9,11,55,66,0,0,83.2096543866193,0.000654719843787329,Inf,0.0186812182726468,0.357142857142857,0.0235963291723029,0.473809523809524
AWBR,sensory,GS,4,4,8,19,64,83,0,0,46.9751908242105,0.00036961563925511,Inf,0.028415907885159,0.462962962962963,0.0346208992069353,0.624074074074074
ASEL,sensory,GS,3,5,8,10,39,49,1195,0.00940263745947817,52.3011533734308,0.000411521994881116,Inf,0.00624357404738279,0.203703703703704,0.00643838542554769,0.203703703703704
ASER,sensory,GS,4,6,10,10,50,60,1079,0.00848991281906021,123.150894165708,0.000968990134435749,Inf,0.0133904860805371,0.392857142857143,0.0164906731517176,0.490079365079365
ADFL,sensory,GS,6,9,15,53,110,163,300,0.00236049475970163,745.679418385591,0.0058672411983885,Inf,0.0110786291568591,0.225490196078431,0.0145677152690923,0.343954248366013
ADFR,sensory,GS,7,10,17,58,85,143,494,0.00388694803764202,605.476891071109,0.00476408342831263,Inf,0.0106474779730432,0.223484848484848,0.0125838978480666,0.278409090909091
AFDL,sensory,GS,4,1,5,41,59,100,236,0.00185692254429862,2.70363756613757,2.12730743566673e-05,Inf,0.016273055782014,0.277777777777778,0.016273055782014,0.277777777777778
AFDR,sensory,GS,7,3,10,38,34,72,395,0.00310798476694048,80.5137513211496,0.00063350762692498,Inf,0.00712936786093311,0.302325581395349,0.0103336707486708,0.479651162790698
AWCL,sensory,GS,4,5,9,54,27,81,44,0.000346205898089573,403.306547712034,0.00317334330809204,Inf,0.0160619740316535,0.367647058823529,0.012982024201099,0.397058823529412
AWCR,sensory,GS,3,2,5,3,58,61,0,0,154.600240512384,0.00121644352526032,Inf,0.000698447408937293,0.1,0.000698447408937293,0.1
ASKL,sensory,GS,7,4,11,28,22,50,911,0.00716803575362729,833.903877588556,0.00656141911047553,Inf,0.00703258886345345,0.268518518518519,0.00992498618140834,0.376543209876543
ASKR,sensory,GS,6,4,10,30,42,72,0,0,182.540924247238,0.001436289650389,Inf,0.0107970851414343,0.321428571428571,0.0141741944978785,0.512896825396825
ASHL,sensory,GS,2,12,14,9,100,109,641,0.00504359046989582,619.38057816895,0.00487348203009592,Inf,0.00742891509240486,0.213483146067416,0.00836941624006342,0.264044943820225
ASHR,sensory,GS,5,5,10,21,77,98,0,0,209.067162785902,0.00164500647393937,Inf,0.0122816617367104,0.302325581395349,0.0171169575250383,0.449612403100775
ADLL,sensory,GS,1,12,13,3,59,62,4,3.14732634626884e-05,28.0706009825448,0.000220868355069908,Inf,0.00321237722973956,0.168831168831169,0.00362205981461461,0.209415584415584
ADLR,sensory,GS,6,8,14,29,144,173,2643.5,0.0207998929909042,1083.80444080417,0.00852771567686533,Inf,0.0103877890188922,0.224719101123595,0.0148865368240558,0.344569288389513
BAGL,sensory,GS,7,8,15,40,83,123,474,0.00372958172032858,820.993142010342,0.00645983336488797,Inf,0.0108764549212098,0.228155339805825,0.0155714931680389,0.347087378640777
URXL,sensory,GS,2,1,3,8,1,9,0,0,0,0,Inf,0.0134714865446015,0.833333333333333,0.015074369838425,0.916666666666667
