neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
RIAR,Interneuron,GS,3.22514553243163,0.0249778582730448,5
RIBL,Interneuron,GS,1.57394827382678,0.723214285714286,3
RIBR,Interneuron,GS,1.27702877413544,0.720486111111111,3
RIFL,Interneuron,GS,0.118137934210792,0.287801314828342,2
RIFR,Interneuron,GS,-0.0245481421736711,0.372576177285319,2
RIGL,Interneuron,GS,0.683189774752758,0.694285714285714,3
RIGR,Interneuron,GS,1.42548852398111,0.533749164624638,2
RIH,Interneuron,GS,2.39295703396231,0.739523260284506,3
RIML,Interneuron,GS,0.754751107826467,0.753665263463492,3
RIMR,Interneuron,GS,1.24924321295415,0.751714677640604,3
RIPL,Interneuron,GS,1.48751383192252,0,1
RIPR,Interneuron,GS,1.27446837261904,0,1
RIR,Interneuron,GS,0.16569995967228,0.762698285531165,3
IL1DL,Motor neuron,GS,-0.53641803146055,0.609418282548476,2
IL1DR,Motor neuron,GS,-0.642940761112291,0.53968253968254,2
IL1L,Motor neuron,GS,-0.64790513420908,0.3984375,2
IL1R,Motor neuron,GS,-0.56162430252649,0.413194444444444,2
IL1VL,Motor neuron,GS,-0.642940761112291,0.549382716049383,2
IL1VR,Motor neuron,GS,-1.01577031489338,0.489795918367347,2
RIVL,Motor neuron,GS,-0.494516988995586,0.244897959183674,2
RIVR,Motor neuron,GS,-0.446583193616369,0.184444444444444,2
RMDDL,Motor neuron,GS,-0.0439393124309487,0.375,2
RMDDR,Motor neuron,GS,0.195729664465135,0.364197530864197,2
RMDL,Motor neuron,GS,0.301184014299412,0.379310344827586,2
RMDR,Motor neuron,GS,0.320357532451099,0.22625,2
RMDVL,Motor neuron,GS,0.253250218920195,0.417777777777778,2
RMDVR,Motor neuron,GS,0.147795869085918,0.421052631578947,2
RMED,Motor neuron,GS,-0.749463490764031,0,1
RMEL,Motor neuron,GS,0.0494569816240223,0,1
RMER,Motor neuron,GS,0.155979711275763,0,1
RMEV,Motor neuron,GS,-0.696202125938161,0,1
RMFL,Motor neuron,GS,0.015120900447244,0.553812871822607,2
RMFR,Motor neuron,GS,-0.0591089744755908,0.519628099173554,2
RMHL,Motor neuron,GS,-1.28390191070237,0.5,2
RMHR,Motor neuron,GS,-0.949867473549609,0.48,2
SIADL,Motor neuron,GS,-0.638318375133236,0,1
SIADR,Motor neuron,GS,-0.64790513420908,0,1
SIAVL,Motor neuron,GS,-0.59038457975402,0,1
SIAVR,Motor neuron,GS,-0.638318375133236,0,1
SIBDL,Motor neuron,GS,-1.3353385038486,0,1
SIBDR,Motor neuron,GS,-1.22881577419686,0,1
SIBVL,Motor neuron,GS,-1.3353385038486,0,1
SIBVR,Motor neuron,GS,-1.49897093147979,0,1
SMBDL,Motor neuron,GS,-0.77367903529547,0.557823129251701,2
SMBDR,Motor neuron,GS,-0.683771379817709,0.590909090909091,2
SMBVL,Motor neuron,GS,-0.707178832878248,0.544378698224852,2
SMBVR,Motor neuron,GS,-0.86358669077323,0.623456790123457,2
SMDDL,Motor neuron,GS,-0.139806903189382,0.144970414201183,2
SMDDR,Motor neuron,GS,0.0135812420241115,0.1504,2
SMDVL,Motor neuron,GS,-0.0247657942792619,0,1
SMDVR,Motor neuron,GS,-0.206914216720286,0.288194444444444,2
