assortavity,cpl,radius,diameter,transitivity,density,global_efficiency,mean_cc
-0.0407794012099853,2.26116231438812,3,4,0.102387277237303,0.0629672299027138,0.477856716163163,0.110146231821852
-0.0381141792517233,2.26271121351767,3,5,0.104236147165196,0.0629672299027138,0.477591525857651,0.111479443326108
-0.0249588720727337,2.26536098310292,3,4,0.104645332676542,0.0629672299027138,0.477114268646521,0.110456193530127
-0.0161577451067335,2.26554019457245,3,4,0.106549803321101,0.0629672299027138,0.477015062297315,0.1107979706223
-0.0180235036127166,2.26748591909882,3,5,0.104898795753028,0.0629672299027138,0.476820276497691,0.109001065046129
-0.0281973537979544,2.25962621607783,3,4,0.10282486869771,0.0629672299027138,0.478042328042323,0.111790759934142
-0.0507906915524695,2.26769073220686,3,5,0.104026978512222,0.0629672299027138,0.477050691244237,0.110152697982203
-0.0394430850633395,2.25771889400922,3,4,0.102282624952711,0.0629672299027138,0.478284476873182,0.111611241271621
-0.0390125516883138,2.25937019969278,3,4,0.101873520846714,0.0629672299027138,0.478068996415766,0.111405423318013
-0.0307968663799697,2.26815156169995,3,6,0.104594530383823,0.0629672299027138,0.477154377880179,0.111043431387756
-0.00669641178516967,2.26781874039939,3,5,0.105025603125165,0.0629672299027138,0.476808969107352,0.109456150283008
-0.024813618584128,2.25948540706605,3,4,0.103810726162617,0.0629672299027138,0.478012459464072,0.11182012981843
-0.0295724515631961,2.26671786994368,3,5,0.104553093763199,0.0629672299027138,0.477063492063488,0.110963179983377
-0.0241123927013101,2.26527137736815,3,4,0.104912364058706,0.0629672299027138,0.477243343573987,0.111949180353499
-0.0283155742016585,2.25977982590886,3,4,0.103820568773758,0.0629672299027138,0.478031660692947,0.112679576067245
-0.0252188167790916,2.2665770609319,3,4,0.105857282347663,0.0629672299027138,0.47691158900836,0.110607686773489
-0.0426238823989697,2.26063748079877,3,4,0.104065122908272,0.0629672299027138,0.477856716163163,0.112356831361114
-0.00171145423603484,2.26575780849974,3,4,0.106526405616307,0.0629672299027138,0.477076932923704,0.11007328063056
-0.0119833764765083,2.26112391193036,3,5,0.103585473356383,0.0629672299027138,0.477943548387093,0.110707468995342
-0.0130302615626066,2.26715309779826,3,4,0.106610272381757,0.0629672299027138,0.476634237924556,0.110005671774257
-0.0530445444684038,2.25634920634921,3,4,0.103040941847267,0.0629672299027138,0.478573562041302,0.1119086337162
-0.0482242131292,2.26182795698925,3,4,0.104269853698018,0.0629672299027138,0.477657236729811,0.113078147249827
-0.045181124157668,2.26127752176139,3,4,0.10338433518688,0.0629672299027138,0.477818313705408,0.11012421567269
-0.0160696324046413,2.26378648233487,3,5,0.103233414887438,0.0629672299027138,0.477481012118106,0.110783883678251
-0.0128400550256515,2.26788274449565,3,5,0.104359130021644,0.0629672299027138,0.476846944871132,0.109254179216999
-0.00977558578194017,2.2660394265233,3,4,0.106894928556345,0.0629672299027138,0.476900921658983,0.110664323051036
-0.0282199571841299,2.26587301587302,3,4,0.105364431230428,0.0629672299027138,0.477034263526193,0.112042603357746
-0.0251507798649051,2.26257040450589,3,5,0.104473311455795,0.0629672299027138,0.477708013312849,0.111146626095862
-0.021895618139165,2.2681643625192,3,4,0.106601731601732,0.0629672299027138,0.476788914490522,0.111020500518468
-0.0214036197461383,2.26376088069636,3,4,0.104072637052287,0.0629672299027138,0.477467357910905,0.111576241920827
-0.00521365485612055,2.26902201740911,3,5,0.106052073525918,0.0629672299027138,0.476623357228192,0.111302560374829
-0.00682838401087562,2.26356886840758,3,4,0.105515365930933,0.0629672299027138,0.477358550947258,0.111866752436573
0.00454074132344718,2.27142857142857,3,5,0.107915900432024,0.0629672299027138,0.476289469192693,0.111187914375753
-0.0271741020352331,2.26168714797747,3,4,0.10489270537309,0.0629672299027138,0.477689238777945,0.112269813851129
-0.0414850932050666,2.26178955453149,3,4,0.104785427736918,0.0629672299027138,0.477585765488989,0.112656590120184
-0.0436219859892414,2.25769329237071,3,4,0.102081977020393,0.0629672299027138,0.478383683222391,0.11105966691522
-0.0373330252045601,2.26175115207373,3,4,0.102458403357648,0.0629672299027138,0.477709506741763,0.111478844089002
0.000685530622971184,2.2668202764977,3,5,0.106206016889514,0.0629672299027138,0.476875746714455,0.111025061724713
-0.0287330713581546,2.26431131592422,3,4,0.105407402845353,0.0629672299027138,0.477239076634234,0.111910428668489
-0.0490363298527887,2.2597158218126,3,4,0.104976907851331,0.0629672299027138,0.477897252090796,0.111885259875665
-0.0434480026329322,2.26006144393241,3,4,0.102337213292158,0.0629672299027138,0.477832181259595,0.11022049179562
-0.0247180439097158,2.26642345110087,3,4,0.10599282075646,0.0629672299027138,0.476913722478233,0.11100374414501
-0.0188745571161231,2.2644777265745,3,5,0.104226597345016,0.0629672299027138,0.477273638846217,0.109903136919036
-0.0550944455894456,2.25847414234511,3,4,0.102634148916515,0.0629672299027138,0.478150068271029,0.109915320259626
-0.0246735517491298,2.2660650281618,3,5,0.1045991323554,0.0629672299027138,0.47708589349718,0.109584835053275
-0.0320481680002543,2.25806451612903,3,4,0.102568444944927,0.0629672299027138,0.478183137054105,0.110807186815687
-0.0398805478736085,2.26283922171019,3,5,0.103583650775497,0.0629672299027138,0.477572324628771,0.111550234815067
-0.0236643241413258,2.26397849462366,3,5,0.104682619979765,0.0629672299027138,0.477456903908514,0.111819610619884
-0.0334508266354886,2.26295442908346,3,4,0.105461841028484,0.0629672299027138,0.477399086874889,0.110129734830987
-0.0355968374929385,2.26216077828981,3,4,0.102580176850996,0.0629672299027138,0.477667904079192,0.11035527626018
-0.0164842489899659,2.26615463389657,3,4,0.104327054206956,0.0629672299027138,0.476995861068438,0.11047409153516
-0.0336516339443188,2.26003584229391,3,4,0.105139755241371,0.0629672299027138,0.477903652500423,0.113909530319157
-0.024389430055408,2.26123911930364,3,4,0.102940529699966,0.0629672299027138,0.477799112476529,0.110569347301282
-0.0329000239489454,2.26259600614439,3,4,0.104835446156012,0.0629672299027138,0.477546296296296,0.110898215785814
-0.0366988392159787,2.26112391193036,3,4,0.103940468439298,0.0629672299027138,0.477879117596857,0.111047593714336
-0.0323895974866265,2.26120071684588,3,4,0.104992476968966,0.0629672299027138,0.477663637139439,0.112035851526674
-0.0220348928659003,2.26337685611879,3,4,0.103693569247825,0.0629672299027138,0.477427888718208,0.108785824990608
-0.0205021555252694,2.26332565284178,3,4,0.104989312386197,0.0629672299027138,0.477268945212487,0.111472071526281
-0.032333557457385,2.26065028161802,3,4,0.103533153838032,0.0629672299027138,0.477850315753538,0.110758811417436
-0.0363248572740242,2.26323604710701,3,4,0.104739684578103,0.0629672299027138,0.477382019115888,0.110125467527527
-0.0184080028340548,2.26702508960573,3,5,0.104821821381434,0.0629672299027138,0.476907962109569,0.110361742475255
-0.033120856967521,2.26131592421915,3,4,0.10393478394763,0.0629672299027138,0.477677504693631,0.111333004075591
-0.0360111486456822,2.2560547875064,3,4,0.103055298930975,0.0629672299027138,0.478566094896737,0.111147736742282
-0.0449779704895185,2.25960061443932,3,4,0.102497998257824,0.0629672299027138,0.478000725379754,0.110060421248007
-0.0453990740322017,2.26195596518177,3,5,0.101865701188664,0.0629672299027138,0.477831967912611,0.111333974005696
-0.047142890023742,2.25963901689708,3,4,0.102807684188305,0.0629672299027138,0.478126600102404,0.111506810218113
-0.0393968025658902,2.26225038402458,3,4,0.104422361232085,0.0629672299027138,0.477567630995048,0.11172254804755
-0.0338470884538329,2.26717869943676,3,4,0.104628757951416,0.0629672299027138,0.476865719406039,0.109184362557513
-0.0667071208787597,2.2573732718894,3,4,0.0999335668027594,0.0629672299027138,0.478435953234339,0.109529977390158
-0.0273532083681845,2.2652585765489,3,5,0.104504302380827,0.0629672299027138,0.477211128178869,0.110639898777818
-0.0113479311019131,2.26637224782386,3,5,0.105237571491421,0.0629672299027138,0.476875746714453,0.110745809201768
0.00278986410868025,2.26683307731695,3,4,0.106255774053055,0.0629672299027138,0.476900921658982,0.110308935658098
-0.050293914401855,2.26008704557092,3,4,0.103896503791811,0.0629672299027138,0.477900452295611,0.111201353376299
-0.0443252149575908,2.26744751664106,3,5,0.104747386759582,0.0629672299027138,0.476773340160433,0.110240654738669
-0.0500403662601557,2.261866359447,3,4,0.104842541509384,0.0629672299027138,0.477628434886498,0.110879386796813
-0.0176828578618651,2.26250640040963,3,4,0.106496225784315,0.0629672299027138,0.477468424645841,0.112930973041431
-0.0349099177846177,2.26601382488479,3,5,0.104287851454217,0.0629672299027138,0.477016555726231,0.11023889384637
-0.0400634593748037,2.26542498719918,3,5,0.105606387190428,0.0629672299027138,0.477146697388629,0.111458748119188
-0.0419757570217511,2.26278801843318,3,4,0.104823808895341,0.0629672299027138,0.477470558115717,0.111499059736866
-0.0174832206222628,2.26802355350742,3,4,0.106502626923991,0.0629672299027138,0.476704642430446,0.110636910096634
-0.0402749527173503,2.2620839733743,3,5,0.103465795122638,0.0629672299027138,0.477659156852702,0.110905538041039
-0.0250846683958778,2.26233998975934,3,5,0.104767184035477,0.0629672299027138,0.47761926096603,0.111719128046171
-0.0182468489876666,2.26230158730159,3,4,0.106916620476681,0.0629672299027138,0.477460957501276,0.113212425109109
-0.0174132379020532,2.26260880696365,3,4,0.104221833185245,0.0629672299027138,0.477496159754221,0.110638460213608
-0.0153747041963457,2.2642345110087,3,4,0.106217992714218,0.0629672299027138,0.477220942140294,0.112938268643487
0.0042413846499661,2.2655017921147,3,4,0.106209754037792,0.0629672299027138,0.477102534562208,0.111006514525848
-0.0256769001655007,2.261866359447,3,4,0.103814882926958,0.0629672299027138,0.477712706946574,0.112325765896971
-0.0436215440073356,2.257910906298,3,5,0.101983582325925,0.0629672299027138,0.478242234169652,0.110602612014303
0.0032286476026954,2.26355606758833,3,4,0.105739543475393,0.0629672299027138,0.477341483188256,0.112175272342693
-0.0415091211496919,2.26441372247824,3,4,0.104706099717581,0.0629672299027138,0.477364951356884,0.112090133680203
-0.0638844370331586,2.25472350230415,3,4,0.102580457848709,0.0629672299027138,0.478747439836149,0.110140267714963
-0.0330340135876072,2.26401689708141,3,4,0.104142657318049,0.0629672299027138,0.47727747909199,0.110747723895285
-0.0289840802907602,2.26205837173579,3,4,0.104521178313126,0.0629672299027138,0.4775889656938,0.111069526219532
-0.0295671713511631,2.26070148489503,3,4,0.103198173226684,0.0629672299027138,0.477821513910221,0.110629874521238
-0.0504245280091275,2.26236559139785,3,5,0.102670754990894,0.0629672299027138,0.477612647209416,0.109489674252463
-0.01643396103652,2.26491295442908,3,5,0.106724271434605,0.0629672299027138,0.477272785458265,0.109882968598975
-0.0319988572263656,2.25958781362007,3,4,0.10265068191817,0.0629672299027138,0.477993258235189,0.111981123726586
-0.0305119402805484,2.26413210445468,3,4,0.105545046630301,0.0629672299027138,0.477257211128172,0.111970423499005
-0.0364683304875821,2.26140552995392,3,4,0.105249034392349,0.0629672299027138,0.47777991124765,0.112067569696864
-0.0321601996151736,2.26537378392217,3,5,0.104220376415518,0.0629672299027138,0.477221795528244,0.111045398764948
-0.015729649032665,2.26761392729135,3,4,0.106283210754126,0.0629672299027138,0.476858252261476,0.11086658327735
-0.0422863895453395,2.26296722990271,3,4,0.103443042652027,0.0629672299027138,0.477400153609828,0.109527360270853
-0.0205367752930314,2.26580901177675,3,4,0.106723306523996,0.0629672299027138,0.477006528417817,0.111469968312511
-0.0247500912113532,2.26318484383001,3,5,0.104333081145753,0.0629672299027138,0.477441116231435,0.111682514426853
-0.0203427784460886,2.26121351766513,3,4,0.104924912243659,0.0629672299027138,0.477818313705409,0.112139874161389
-0.0250097021776107,2.26639784946237,3,4,0.107454886192667,0.0629672299027138,0.476834784092846,0.111307223675847
-0.0155801132689508,2.26545058883769,3,5,0.104546494438969,0.0629672299027138,0.477124082607951,0.111907790810467
-0.0287487256616427,2.25756528417819,3,4,0.103740883136993,0.0629672299027138,0.478282343403311,0.113603786169489
