cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASKR,sensory,GS,6,4,10,30,42,72,0,0,48.7397909955429,0.00161915457429882,Inf,0.0122493246633817,0.321428571428571,0.0160806651028563,0.512896825396825
AUAL,interneuron,GS,4,6,10,11,89,100,0,0,118.009640358542,0.00392032557167439,Inf,0.0190941124928369,0.337209302325581,0.0214503488483177,0.424418604651163
AUAR,interneuron,GS,9,5,14,31,83,114,115,0.00382034416317853,262.156495902962,0.00870893946923666,Inf,0.010435207486653,0.193181818181818,0.0142522691542063,0.282670454545455
AVAL,interneuron,GS,20,5,25,357,29,386,1487,0.0493987110490997,730.818014425979,0.0242780550935479,Inf,0.0100094712700295,0.185810810810811,0.0184655650292145,0.330349099099099
AVAR,interneuron,GS,26,7,33,325,58,383,2106,0.0699621287622085,1369.48286893684,0.0454947468253552,Inf,0.00695251386863767,0.145315487571702,0.0141844036947426,0.318417478527421
AVBL,interneuron,GS,23,3,26,286,16,302,16,0.00053152614444223,83.8083968534676,0.002784147128213,Inf,0.00749053557308251,0.157407407407407,0.0137473069503495,0.298469650205761
AVBR,interneuron,GS,22,2,24,212,10,222,335,0.0111288286492592,25.7044184215001,0.000853910651169362,Inf,0.00611494296068109,0.178181818181818,0.0105105788288911,0.318121212121212
AVDL,interneuron,GS,11,3,14,112,30,142,66,0.0021925453458242,185.395899329392,0.00615892297287197,Inf,0.00860870414780737,0.202247191011236,0.0119195773653979,0.296816479400749
AVDR,interneuron,GS,13,6,19,64,40,104,186,0.00617899142914092,119.397634445407,0.00396643526826812,Inf,0.00707535007383561,0.267857142857143,0.0113623116682401,0.460019841269841
AVEL,interneuron,GS,24,2,26,295,20,315,392,0.0130223905388346,230.623658965285,0.00766140651668609,Inf,0.00660832014591244,0.126153846153846,0.0144460753145658,0.310802197802198
AVER,interneuron,GS,14,2,16,136,47,183,88,0.00292339379443226,148.189516989114,0.00492291266324875,Inf,0.00675522562564733,0.129166666666667,0.0110233694255429,0.231736111111111
AVFL,interneuron,GS,7,10,17,31,88,119,376,0.0124908643943924,200.333570848532,0.00665515815721651,Inf,0.00799645131294445,0.257462686567164,0.0140021507003794,0.467350746268657
AVFR,interneuron,GS,8,12,20,19,114,133,338,0.0112284898013421,1013.63470371502,0.0336733341211554,Inf,0.00415223785069736,0.172972972972973,0.00562225964902904,0.246396396396396
AVHL,interneuron,GS,3,9,12,6,20,26,7,0.000232542688193476,288.805300689621,0.00959422299812708,Inf,0.00213741143042133,0.153846153846154,0.00201238608657357,0.15
AVHR,interneuron,GS,2,9,11,5,26,31,30,0.000996611520829181,300.03489485429,0.0099672744287519,Inf,0.00295617375553582,0.154545454545455,0.00391996817926317,0.193939393939394
AVJL,interneuron,GS,5,7,12,23,24,47,656,0.0217925719221314,697.931240067866,0.0231855438199411,Inf,0.00383416628324552,0.1875,0.00452862266310767,0.228515625
AVJR,interneuron,GS,0,2,2,0,3,3,0,0,0,0,Inf,0,0,0,0
AVKL,interneuron,GS,8,11,19,63,19,82,0,0,362.346377721625,0.0120372858189364,Inf,0.00420579499087503,0.158823529411765,0.00829199000567748,0.345022175536881
AVKR,interneuron,GS,11,12,23,92,50,142,162,0.00538170221247758,485.595113374449,0.0161316561482443,Inf,0.00566391957633533,0.166,0.0106205863358001,0.334533333333333
AVL,interneuron,GS,8,5,13,22,16,38,5,0.000166101920138197,404.386325557325,0.0134338690305403,Inf,0.00178307628900503,0.12,0.00156563437743511,0.0933333333333333
AVM,sensory,GS,2,11,13,6,60,66,112,0.00372068301109561,90.0856116842867,0.0029926786155168,Inf,0.00508597099321498,0.207792207792208,0.00613171263214958,0.258658008658009
AWAL,sensory,GS,2,9,11,11,107,118,1874,0.0622549996677962,642.001083582027,0.0213275225427555,Inf,0.0168726211437997,0.292452830188679,0.0249853276165465,0.424528301886792
AWAR,sensory,GS,3,6,9,6,120,126,0,0,43.6048649763714,0.00144857035998842,Inf,0.0281059602287085,0.46969696969697,0.0339807411415396,0.651515151515151
AWBL,sensory,GS,3,6,9,11,55,66,0,0,25.1693895113945,0.000836136785309763,Inf,0.0211938967537631,0.357142857142857,0.0267701044410922,0.473809523809524
AWBR,sensory,GS,4,4,8,19,64,83,0,0,36.1440694480622,0.00120071986738629,Inf,0.0322379305831628,0.462962962962963,0.0392775113809676,0.624074074074074
AWCL,sensory,GS,3,5,8,51,27,78,36,0.00119593382499502,169.668928634718,0.00563646696680347,Inf,0.0220643699271264,0.403846153846154,0.0151860884129171,0.365384615384615
AWCR,sensory,GS,2,2,4,2,58,60,0,0,88.0362601621084,0.00292459837094241,Inf,0,0,0,0
BAGL,sensory,GS,6,8,14,31,83,114,454,0.0150820543485483,517.890366797325,0.0172045168692221,Inf,0.0114075497994045,0.213483146067416,0.016496092447465,0.328183520599251
BDUL,interneuron,GS,1,2,3,14,5,19,0,0,1,3.32203840276394e-05,Inf,0,0,0,0
BDUR,interneuron,GS,2,2,4,16,4,20,0,0,15.2686843993475,0.00050723155934315,Inf,0.00340693705587414,0.2,0.00340693705587414,0.2
CEPDL,sensory,GS,9,13,22,65,99,164,1209.5,0.0401800544814298,576.308854328385,0.0191452014593178,Inf,0.00494742038864652,0.127753303964758,0.00836730694933684,0.23942731277533
CEPDR,sensory,GS,8,10,18,65,97,162,694,0.0230549465151817,659.923490612205,0.0219229117869977,Inf,0.00400363194299572,0.09,0.00479060821996338,0.116111111111111
CEPVL,sensory,GS,6,13,19,25,136,161,441,0.014650189356189,698.722364569521,0.0232118252796997,Inf,0.00302668129912675,0.0833333333333333,0.00421120743806222,0.111855158730159
CEPVR,sensory,GS,10,20,30,44,232,276,758,0.0251810510929506,1379.07737053741,0.0458134798530798,Inf,0.0049697244726619,0.106976744186047,0.00984847021547064,0.212151162790698
DVA,sensory,GS,12,21,33,41,144,185,730,0.0242508803401767,1848.66412756115,0.0614133322557024,Inf,0.00396416336890294,0.17816091954023,0.00952864172539754,0.236296583850932
DVC,interneuron,GS,4,13,17,19,145,164,254,0.0084379775430204,125.935218735633,0.0041836163290025,Inf,0.00760311891991105,0.177777777777778,0.0147605908385673,0.374898589065256
FLPL,sensory,GS,2,14,16,16,138,154,198,0.00657763603747259,70.6673187627529,0.00234759546750226,Inf,0.0101811876534374,0.197478991596639,0.0153355732425746,0.296008403361345
FLPR,sensory,GS,4,8,12,15,47,62,0,0,118.223568903856,0.00392743236010419,Inf,0.0128250899586475,0.444444444444444,0.0162698396370877,0.333333333333333
IL1DL,sensory,GS,6,2,8,27,37,64,129,0.00428542953956548,69.0737441279001,0.00229465630615574,Inf,0.00786583901962,0.214285714285714,0.00790352031481294,0.208333333333333
IL1DR,sensory,GS,2,3,5,20,37,57,11,0.000365424224304033,4.65156042787622,0.000154526623741818,Inf,0.0082198687315485,0.15,0.0082198687315485,0.15
IL1L,sensory,GS,4,5,9,12,49,61,497,0.0165105308617368,515.626305206625,0.0171293038737169,Inf,0.00939509169406535,0.314285714285714,0.0116823179971169,0.39047619047619
IL1R,sensory,GS,8,6,14,18,80,98,0,0,151.530594634491,0.00503390454569435,Inf,0.00701768911177041,0.202247191011236,0.0115500283242171,0.385112359550562
IL1VL,sensory,GS,6,6,12,26,140,166,204.5,0.00679356853365225,458.134091233964,0.0152193904469459,Inf,0.0107837739034864,0.215384615384615,0.0165688766695619,0.325128205128205
IL1VR,sensory,GS,6,5,11,45,81,126,8,0.000265763072221115,37.1007453282449,0.00123250100751594,Inf,0.0144345972482556,0.320754716981132,0.019261699723689,0.477987421383648
IL2DL,sensory,GS,1,4,5,1,26,27,165,0.00548136336456049,165.625,0.00550212610457777,Inf,0.00686979950664382,0.25,0.00670831694873861,0.225
IL2DR,sensory,GS,0,11,11,0,44,44,0,0,0,0,Inf,0.00385449931585725,0.109090909090909,0.00364256918719345,0.0909090909090909
IL2L,sensory,GS,5,8,13,33,108,141,9048,0.300578034682081,716.633728993854,0.0238068476843351,Inf,0.00632586189233244,0.143835616438356,0.00364717884395366,0.089041095890411
IL2R,sensory,GS,5,13,18,34,108,142,848,0.0281708856554382,510.098176746083,0.0169456573233035,Inf,0.00811342794943737,0.161073825503356,0.00928553081519148,0.198545861297539
IL2VL,sensory,GS,3,9,12,5,109,114,0,0,124.324121766388,0.0041300950689784,Inf,0.00736706164909702,0.192307692307692,0.00863606463534101,0.228205128205128
IL2VR,sensory,GS,3,8,11,10,115,125,190,0.00631187296525148,162.994431989646,0.00541473762506299,Inf,0.0128349658200873,0.254716981132075,0.0135776450532792,0.254716981132075
OLLL,sensory,GS,1,12,13,4,129,133,155,0.0051491595242841,33.952453069806,0.00112791352965936,Inf,0.00608456430390768,0.141025641025641,0.00927988204292463,0.219978632478633
OLLR,sensory,GS,3,12,15,31,148,179,41,0.00136203574513321,70.6727903224422,0.00234777723481636,Inf,0.0124190039557097,0.206730769230769,0.0164779103661329,0.358653846153846
OLQDL,sensory,GS,6,8,14,69,50,119,1151,0.0382366620158129,471.550888636591,0.0156651016090822,Inf,0.0172368963003818,0.369318181818182,0.0246103527885361,0.283854166666667
OLQDR,sensory,GS,4,10,14,79,83,162,354,0.0117600159457843,78.1699172858552,0.00259683467164491,Inf,0.0129479196361772,0.227272727272727,0.0177595617572586,0.283143939393939
OLQVL,sensory,GS,8,7,15,65,86,151,1023,0.0339844528602751,489.313153677911,0.0162551708749555,Inf,0.00403943903856074,0.133663366336634,0.00652090408161224,0.194719471947195
OLQVR,sensory,GS,5,8,13,104,94,198,915,0.03039665138529,305.650587141395,0.0101538298831106,Inf,0.0091174485055044,0.142857142857143,0.0119818659917584,0.203463203463204
PLNL,sensory,GS,3,8,11,8,86,94,42,0.00139525612916085,39.8085910217943,0.00132245668134324,Inf,0.00664438311987768,0.188679245283019,0.00905201022805936,0.29559748427673
PLNR,sensory,GS,2,4,6,18,38,56,175,0.00581356720483689,22.8976886072155,0.000760670008877,Inf,0.0112524532139109,0.142857142857143,0.0122597538651713,0.160714285714286
PVCL,interneuron,GS,13,8,21,86,48,134,347,0.0115274732575909,640.827709295436,0.0212885425983468,Inf,0.00671828458248302,0.240291262135922,0.0107492182961557,0.362864077669903
PVCR,interneuron,GS,8,10,18,65,66,131,1976,0.0656434788386154,150.912049533961,0.00501335623991633,Inf,0.0103991708277133,0.28,0.0150064455411647,0.398611111111111
PVNL,interneuron,GS,3,10,13,11,31,42,27,0.000896950368746263,13.1109694369285,0.000435551439669408,Inf,0.0083901325075916,0.460526315789474,0.0118855856519027,0.600308641975309
PVNR,interneuron,GS,2,6,8,5,20,25,5,0.000166101920138197,37.1263392096794,0.00123335124608595,Inf,0.00525082155710057,0.326923076923077,0.00646304274498601,0.416666666666667
PVPL,interneuron,GS,5,9,14,9,45,54,36,0.00119593382499502,135.594222105338,0.00450449213026837,Inf,0.00524279786228747,0.230769230769231,0.00916911564183316,0.42967032967033
PVPR,interneuron,GS,5,8,13,21,18,39,4,0.000132881536110557,296.799233324235,0.00985978451014001,Inf,0.00241289736797288,0.116883116883117,0.00247840326215452,0.116883116883117
PVQL,interneuron,GS,4,5,9,33,35,68,148,0.00491661683609063,409.529134513577,0.0136047151190478,Inf,0.00684354017463998,0.208333333333333,0.00888535481938521,0.277777777777778
PVQR,interneuron,GS,2,4,6,22,41,63,333,0.0110623878812039,57.0717191499666,0.00189594442727947,Inf,0.0126381662327308,0.233333333333333,0.0141912195696443,0.266666666666667
PVR,interneuron,GS,3,4,7,24,32,56,2,6.64407680552787e-05,53.7600011185571,0.00178592788248479,Inf,0.00957087893454584,0.261904761904762,0.0081259156985592,0.25
