,cell_class_wit7,cell_type_wit7,Gender_wit7,cell_name,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
14,ASG,Sensory neuron,GS,ASGR,5,4,9,13,25,38,0.0,0.0,17.5474531591559,0.0005507329470578,2.6421568627451,0.0432297784272929,0.338235294117647,0.0440229506292009,0.323529411764706,ASG,Sensory neuron,GS,4,2,6,14,13,27,0.0,0.0,2.50540465587654,7.86330003099787e-05,inf,0.0317936098364258,0.357142857142857,0.034913063917814,0.392857142857143
15,ASH,Sensory neuron,GS,ASHL,7,21,28,16,77,93,391.0,0.0122716715837047,169.535302102312,0.0053209246783727,2.66154401154401,0.0213789172342592,0.268716577540107,0.0360268061717936,0.404813664596273,ASH,Sensory neuron,GS,8,23,31,17,83,100,681.666666666667,0.0213943464524094,322.266538756904,0.0101144478926905,inf,0.0093545141316985,0.183695652173913,0.0178986157425154,0.390971790890269
16,ASH,Sensory neuron,GS,ASHR,10,17,27,16,73,89,313.416666666667,0.0098366915657104,450.435163859962,0.0141370649632779,2.53449883449883,0.0159639973065939,0.197406340057637,0.031485567689428,0.424351585014409,ASH,Sensory neuron,GS,6,24,30,10,88,98,173.5,0.0054453581068357,357.351738635497,0.0112156091468049,inf,0.0069388200636349,0.129370629370629,0.0135441746916259,0.279778554778555
17,ASI,Sensory neuron,GS,ASIL,2,10,12,3,32,35,0.0,0.0,54.3798984015184,0.00170673210726,2.7,0.0358226002131064,0.315384615384615,0.0479585009424723,0.453205128205128,ASI,Sensory neuron,GS,3,11,14,3,38,41,11.0,0.0003452388425083,70.6009256922377,0.0022158347150912,inf,0.0190727866858724,0.275280898876405,0.0299299328822872,0.478932584269663
18,ASI,Sensory neuron,GS,ASIR,2,8,10,2,41,43,0.0,0.0,8.33292121199958,0.0002615316430857,2.76666666666667,0.0492273123100107,0.363636363636364,0.0658759976186574,0.516098484848485,ASI,Sensory neuron,GS,4,9,13,4,31,35,0.0,0.0,51.5971388066824,0.0016193942253054,inf,0.0224423501516968,0.361842105263158,0.032855074358844,0.581140350877193
19,ASJ,Sensory neuron,GS,ASJL,5,5,10,6,15,21,137.0,0.0042997928566945,117.693834779859,0.0036938621172512,2.63578643578644,0.0172191694724798,0.290697674418605,0.0280857227319403,0.465697674418605,ASJ,Sensory neuron,GS,4,4,8,8,20,28,20.0,0.0006277069863787,59.8520819069219,0.0018784784981144,inf,0.022510248914477,0.388888888888889,0.0318973703415907,0.597222222222222
20,ASJ,Sensory neuron,GS,ASJR,1,4,5,1,25,26,0.0,0.0,0.0,0.0,2.59090909090909,0.0506153703223046,0.555555555555556,0.0541611397191065,0.611111111111111,ASJ,Sensory neuron,GS,1,4,5,1,19,20,2.0,6.27706986378758e-05,11.268668959357,0.0003536711116488,inf,0.0216053931551343,0.35,0.0228737270041384,0.4
21,ASK,Sensory neuron,GS,ASKL,9,8,17,17,44,61,746.166666666667,0.0234187014834808,288.189005117631,0.009044912595494,2.48138528138528,0.0291516841464526,0.285714285714286,0.0418463535453352,0.464285714285714,ASK,Sensory neuron,GS,8,12,20,27,43,70,652.5,0.020478940430607,438.830571469571,0.0137728507774016,inf,0.0145724592685546,0.202702702702703,0.023060866754696,0.371126126126126
22,ASK,Sensory neuron,GS,ASKR,7,11,18,25,41,66,743.333333333333,0.0233297763270772,115.282412623964,0.003618178790533,2.51020733652313,0.0252285273136599,0.263333333333333,0.0369205213375227,0.401388888888889,ASK,Sensory neuron,GS,7,12,19,19,60,79,145.0,0.004550875651246,150.321197613566,0.0047178832971428,inf,0.0165249396861903,0.306060606060606,0.0288952093289247,0.568636363636363
23,AUA,Sensory neuron,GS,AUAL,7,7,14,35,60,95,211.0,0.0066223087062959,35.7164033321141,0.0011209717949944,3.04781052281052,0.035207097615891,0.202247191011236,0.0448974328787543,0.267322097378277,AUA,Sensory neuron,GS,9,9,18,27,63,90,509.333333333333,0.0159856045864457,211.219388789667,0.0066291943000962,inf,0.0186468985877464,0.26510067114094,0.0289045484755567,0.457046979865772
24,AUA,Sensory neuron,GS,AUAR,11,6,17,42,54,96,63.0,0.001977277007093,43.8114723113851,0.0013750383626698,3.13852813852814,0.0254981049802995,0.183823529411765,0.0358512062157251,0.316850490196078,AUA,Sensory neuron,GS,10,6,16,33,57,90,122.0,0.0038290126169104,157.014619606643,0.0049279586845346,inf,0.0189231364903065,0.252136752136752,0.0298712203740947,0.427991452991453
25,AVM,Sensory neuron,GS,AVM,7,10,17,7,42,49,195.25,0.0061279894545226,198.515444437872,0.0062304765688868,3.26709956709957,0.0189809482736797,0.235074626865672,0.0272587127848114,0.372512437810945,AVM,Sensory neuron,GS,7,12,19,7,45,52,122.833333333333,0.0038551670746762,253.936550644694,0.0079698873468299,inf,0.0113080741673934,0.248484848484848,0.0192458210851401,0.445757575757576
26,AWA,Sensory neuron,GS,AWAL,6,13,19,8,41,49,256.0,0.0080346494256481,137.601264357351,0.0043186637485829,2.61590909090909,0.0218979026373964,0.294642857142857,0.0392398911171646,0.513839285714286,AWA,Sensory neuron,GS,6,13,19,6,47,53,12.0,0.0003766241918272,175.159828035188,0.0054974523895294,inf,0.0131737156085246,0.27710843373494,0.0251207720006109,0.561495983935743
27,AWA,Sensory neuron,GS,AWAR,6,12,18,8,43,51,106.0,0.0033268470278074,95.0243073614425,0.002982371080329,2.7,0.021812973645819,0.246666666666667,0.0428046615468092,0.519888888888889,AWA,Sensory neuron,GS,7,12,19,8,43,51,1.0,3.13853493189379e-05,180.284169135396,0.0056582816249888,inf,0.0154655718069834,0.315151515151515,0.0278465788049702,0.583030303030303
28,AWB,Sensory neuron,GS,AWBL,10,9,19,17,26,43,172.666666666667,0.0054192036490699,123.417154053902,0.0038734904919308,2.84285714285714,0.0174888765058766,0.242603550295858,0.0315329445524941,0.46474358974359,AWB,Sensory neuron,GS,11,11,22,18,34,52,106.0,0.0033268470278074,185.862422615429,0.0058333570590493,inf,0.0131116697930414,0.281938325991189,0.0232769887754914,0.543098384728341
29,AWB,Sensory neuron,GS,AWBR,5,10,15,15,28,43,72.0,0.0022597451509635,84.5654681756256,0.0026541167590115,2.76666666666667,0.0203489131564035,0.189320388349515,0.0311211279698855,0.319174757281553,AWB,Sensory neuron,GS,11,11,22,20,27,47,137.0,0.0042997928566945,424.141101391741,0.0133118166276989,inf,0.0105780250845842,0.237777777777778,0.0193445023313025,0.474740740740741
30,AWC,Sensory neuron,GS,AWCL,11,9,20,60,42,102,2331.83333333333,0.0731854037202101,141.096253200093,0.0044283551942782,2.69444444444444,0.0477186794354902,0.345108695652174,0.0711421097700411,0.527038043478261,AWC,Sensory neuron,GS,9,15,24,34,60,94,277.5,0.0087094344360052,627.503402983163,0.0196944135014488,inf,0.0164238333404221,0.209259259259259,0.0295570965856981,0.428024691358025
31,AWC,Sensory neuron,GS,AWCR,6,16,22,36,67,103,1399.0,0.0439081036971941,172.07595192293,0.0054006638604899,2.7,0.0322917900352062,0.234649122807018,0.0546699739539301,0.430691311612364,AWC,Sensory neuron,GS,12,11,23,71,68,139,2646.0,0.0830456342979097,170.522992922776,0.0053519236997921,inf,0.0301122662109852,0.315040650406504,0.0525432905897242,0.606368563685637
32,BAG,Sensory neuron,GS,BAGL,11,7,18,38,36,74,1213.0,0.0380704287238717,101.950312152706,0.0031997461600874,3.05,0.0258855994234644,0.228476821192053,0.0410326629139331,0.399944812362031,BAG,Sensory neuron,GS,14,6,20,47,49,96,593.0,0.0186115121461302,129.524705521184,0.0040651781282149,inf,0.0167296766595515,0.23936170212766,0.029084736986215,0.447517730496454
