Source,Target,Weight
Comm1,Comm1,1231
Comm2,Comm1,109
Comm3,Comm1,97
Comm4,Comm1,12
Comm5,Comm1,43
Comm6,Comm1,20
Comm7,Comm1,7
Comm1,Comm2,125
Comm2,Comm2,566
Comm3,Comm2,31
Comm4,Comm2,14
Comm5,Comm2,34
Comm6,Comm2,6
Comm7,Comm2,36
Comm1,Comm3,103
Comm2,Comm3,73
Comm3,Comm3,737
Comm4,Comm3,48
Comm5,Comm3,51
Comm6,Comm3,38
Comm7,Comm3,67
Comm1,Comm4,93
Comm2,Comm4,43
Comm3,Comm4,317
Comm4,Comm4,979
Comm5,Comm4,115
Comm6,Comm4,106
Comm7,Comm4,150
Comm1,Comm5,220
Comm2,Comm5,84
Comm3,Comm5,116
Comm4,Comm5,17
Comm5,Comm5,325
Comm6,Comm5,6
Comm7,Comm5,50
Comm1,Comm6,13
Comm2,Comm6,55
Comm3,Comm6,47
Comm4,Comm6,44
Comm5,Comm6,20
Comm6,Comm6,421
Comm7,Comm6,49
Comm1,Comm7,30
Comm2,Comm7,41
Comm3,Comm7,85
Comm4,Comm7,17
Comm5,Comm7,17
Comm6,Comm7,23
Comm7,Comm7,168
