Row,1,2,3,4,5,6
1,2587,5,237,217,131,729
2,18,1168,9,20,14,222
3,258,16,3740,1436,58,730
4,161,3,648,7379,124,557
5,67,6,30,17,2315,344
6,697,31,171,496,855,4243
