,cell_name,cell_type_cook,Gender_cook,indegree_cook,outdegree_cook,degree_cook,instrength_cook,outstrength_cook,strength_cook,BC_wei_cook,BC_wei_norm_cook,BC_bin_cook,BC_bin_norm_cook,eccentricity_cook,CC_wei_cook,CC_bin_cook,LE_wei_cook,LE_bin_cook,cell_class,cell_type_wit7,Gender_wit7,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
44,AVBL,interneuron,GS,43,13,56,332,47,379,495.333333333333,0.0155462096959806,480.679050621457,0.0150862799140499,1.3952380952381,0.0149356330769086,0.216525146962769,0.0347213020490817,0.532669279338123,AVB,Interneuron,GS,40,0,40,138,0,138,0.0,0.0,0.0,0.0,inf,0.0090775054762072,0.107692307692308,0.0297070900525201,0.37583485958486,AVB,Interneuron,GS,29,0,29,139,0,139,0.0,0.0,0.0,0.0,inf,0.0079431746648361,0.112068965517241,0.0220388068248805,0.345047501759324
45,AVBR,interneuron,GS,43,8,51,329,36,365,248.666666666667,0.0078044901973092,241.476026473922,0.0075788094430331,1.3952380952381,0.0151570945182284,0.202596380802518,0.0348184827435541,0.519603986362444,AVB,Interneuron,GS,38,0,38,159,0,159,0.0,0.0,0.0,0.0,inf,0.0114125407245813,0.114509246088193,0.0355657073157792,0.385988620199146,AVB,Interneuron,GS,28,0,28,139,0,139,0.0,0.0,0.0,0.0,inf,0.0078802057578006,0.126984126984127,0.0205856863420557,0.342564247921391
46,AVDL,interneuron,GS,29,7,36,192,88,280,238.0,0.0074697131379072,70.8804602766846,0.0022246080056708,1.3484555984556,0.0249836685836995,0.298076923076923,0.0416117882889738,0.557841117216117,AVD,Interneuron,GS,17,0,17,35,0,35,0.0,0.0,0.0,0.0,inf,0.005987957226291,0.0772058823529412,0.0066904601701861,0.0863970588235294,AVD,Interneuron,GS,16,0,16,44,0,44,0.0,0.0,0.0,0.0,inf,0.0057611630297295,0.1375,0.0099199902523019,0.253333333333333
47,AVDR,interneuron,GS,34,9,43,171,107,278,486.5,0.0152689724436633,339.145660942671,0.0106442050386878,1.26923076923077,0.0191424132477555,0.241899441340782,0.0345925186571972,0.508962490023943,AVD,Interneuron,GS,19,0,19,47,0,47,0.0,0.0,0.0,0.0,inf,0.0092179557897653,0.12280701754386,0.0153658156313518,0.215497076023392,AVD,Interneuron,GS,18,0,18,51,0,51,0.0,0.0,0.0,0.0,inf,0.0058387030311983,0.124183006535948,0.0100452642378098,0.230555555555556
48,AVEL,interneuron,GS,43,8,51,300,32,332,275.0,0.0086309710627079,400.997935851654,0.0125854602928772,1.3921568627451,0.0110043777598368,0.169952681388013,0.0298578929158429,0.477871976866456,AVE,Interneuron,GS,32,0,32,158,0,158,0.0,0.0,0.0,0.0,inf,0.0140924007190093,0.109879032258065,0.0440632149185565,0.372347830261137,AVE,Interneuron,GS,39,0,39,173,0,173,0.0,0.0,0.0,0.0,inf,0.008271150026823,0.125506072874494,0.02548598157312,0.408940620782726
49,AVER,interneuron,GS,42,11,53,293,64,357,617.0,0.0193647605297847,726.259613205374,0.0227939116566874,1.35411255411255,0.0121264396351859,0.174817518248175,0.0312630890779805,0.492986618004866,AVE,Interneuron,GS,35,0,35,162,0,162,0.0,0.0,0.0,0.0,inf,0.0148204803981321,0.121008403361345,0.043503748990175,0.383025210084034,AVE,Interneuron,GS,33,0,33,156,0,156,0.0,0.0,0.0,0.0,inf,0.0095710393526237,0.125,0.0265719366003911,0.381748286435786
50,AVFL,interneuron,GS,10,16,26,37,41,78,49.5,0.0015535747912874,115.586002062381,0.0036277070511073,1.57142857142857,0.0126047003825913,0.331230283911672,0.0215759480463064,0.607518401682439,AVF,Modulatory neuron,GS,7,11,18,10,20,30,47.0,0.00147511141799,96.3732869681487,0.0030247092765096,2.5,0.0140413149359632,0.273333333333333,0.0239241161306018,0.474111111111111,AVF,Modulatory neuron,GS,8,13,21,16,19,35,83.3333333333333,0.0026154457765781,279.804628094147,0.0087817659937903,inf,0.0069214280392435,0.198067632850242,0.0135642924861707,0.404227053140097
51,AVFR,interneuron,GS,11,18,29,37,48,85,126.333333333333,0.0039650157972924,239.101506689709,0.0075042843101409,1.48809523809524,0.011812995205741,0.297738693467337,0.0204909707711688,0.556951423785595,AVF,Modulatory neuron,GS,9,15,24,16,18,34,171.083333333333,0.0053695101793149,301.922603615504,0.0094759463817558,2.83333333333333,0.0094215132566525,0.192307692307692,0.0187551166667955,0.391928309785453,AVF,Modulatory neuron,GS,10,18,28,17,30,47,430.166666666667,0.0135009310986965,699.981352434548,0.0219691592629009,inf,0.0061130374628988,0.180592991913747,0.0125170456536643,0.373764600179695
52,AVHL,interneuron,GS,15,21,36,32,45,77,384.0,0.0120519741384722,334.309878946432,0.0104924323315056,1.46477212506624,0.0075002916091352,0.237520128824477,0.0159050690067686,0.513727858293076,AVH,Modulatory neuron,GS,6,17,23,9,28,37,180.333333333333,0.0056598246605151,186.502822878222,0.005853456245001,3.03333333333333,0.0095021741343851,0.15,0.015786731281589,0.263133333333333,AVH,Modulatory neuron,GS,7,11,18,10,24,34,166.0,0.0052099679869436,223.946036041953,0.0070286245697681,inf,0.0062906340590528,0.161073825503356,0.0108616598267892,0.279753914988814
53,AVHR,interneuron,GS,12,18,30,20,45,65,30.5,0.0009572531542276,223.259633113283,0.0070070815740783,1.4202380952381,0.0075108236082622,0.242424242424242,0.0160143589976747,0.541083916083916,AVH,Modulatory neuron,GS,7,23,30,13,35,48,396.666666666667,0.012449521896512,607.958126598533,0.019080978174582,2.99924242424242,0.0080745176542126,0.135198135198135,0.0152384093849309,0.258663558663559,AVH,Modulatory neuron,GS,10,17,27,12,37,49,95.8333333333333,0.0030077626430648,307.95186445174,0.009665176839236,inf,0.0066820043717461,0.181556195965418,0.0135402728376675,0.402209414024976
