,cell_name,cell_type_cook,Gender_cook,indegree_cook,outdegree_cook,degree_cook,instrength_cook,outstrength_cook,strength_cook,BC_wei_cook,BC_wei_norm_cook,BC_bin_cook,BC_bin_norm_cook,eccentricity_cook,CC_wei_cook,CC_bin_cook,LE_wei_cook,LE_bin_cook,cell_class,cell_type_wit7,Gender_wit7,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
0,ADAL,interneuron,GS,15,21,36,34,91,125,27.0,0.0008474044316113,252.946055276976,0.0079388003037152,1.29444444444444,0.012773403647522,0.25400641025641,0.0225746562809926,0.45064448441247,ADA,Interneuron,GS,19,13,32,27,42,69,333.833333333333,0.0104774757809721,1076.71896535402,0.0337932008459615,2.93376623376623,0.0113618194317855,0.163265306122449,0.0189555189982821,0.287638483965014,ADA,Interneuron,GS,14,14,28,25,54,79,300.0,0.0094156047956813,487.112800762432,0.0152882054096551,inf,0.0062586229668618,0.13262599469496,0.0110104395866835,0.260035366931919
1,ADAR,interneuron,GS,16,18,34,46,97,143,1270.0,0.0398593936350512,273.778816163816,0.0085926437814266,1.275,0.01122665073924,0.201077199281867,0.0244367748542533,0.479787552363854,ADA,Interneuron,GS,10,19,29,17,46,63,309.833333333333,0.0097242273973176,645.993076321377,0.0202747183579617,3.5011655011655,0.0109269697615321,0.150872817955112,0.0206330006156616,0.315666191663698,ADA,Interneuron,GS,11,11,22,17,51,68,285.5,0.0089605172305567,130.154181210723,0.0040849344426189,inf,0.0061632041039396,0.128260869565217,0.0090902772886867,0.195471014492754
2,ADEL,sensory,GS,8,35,43,48,129,177,833.0,0.0261439959826753,476.654025574726,0.0149599530969407,1.36111111111111,0.0087091010318155,0.177455357142857,0.024334890212949,0.431794781794782,ADE,Modulatory neuron,GS,7,27,34,9,62,71,262.416666666667,0.0082360387504446,550.203613273304,0.0172683325991245,2.83535353535354,0.010796817926987,0.173561151079137,0.0262840728532589,0.270477642276423,ADE,Modulatory neuron,GS,6,25,31,9,57,66,410.5,0.012883685895424,459.327918789175,0.014416167183139,inf,0.0044785783884192,0.107142857142857,0.0117671030762453,0.302984428390273
3,ADER,sensory,GS,11,25,36,36,85,121,517.5,0.0162419182725504,465.048936294529,0.0145957233160043,1.3952380952381,0.0097703278970618,0.202093397745572,0.0212585916491181,0.474559082892416,ADE,Modulatory neuron,GS,6,32,38,12,75,87,163.583333333333,0.0051341200594229,468.819165507372,0.0147140532768618,2.81068931068931,0.0095905945376521,0.136103151862464,0.0227936153741828,0.350225133033156,ADE,Modulatory neuron,GS,6,29,35,12,62,74,579.5,0.0181878099303245,797.947911638455,0.0250438739450899,inf,0.0043635082925385,0.102542372881356,0.0098521630216111,0.237683615819209
4,ADFL,sensory,GS,10,20,30,42,136,178,535.0,0.0167911618856318,212.156138066543,0.0066585945033752,1.23754578754579,0.0164439827210614,0.279205607476636,0.0302605867629425,0.577239096573209,ADF,Sensory neuron,GS,5,20,25,18,54,72,229.0,0.0071872449940367,208.053737732638,0.0065298392358495,2.78333333333333,0.0155521675938936,0.175675675675676,0.0307487206380102,0.380996621621622,ADF,Sensory neuron,GS,7,15,22,20,57,77,100.0,0.0031385349318937,169.187833763816,0.0053100192631917,inf,0.0162015959416704,0.277533039647577,0.0263317775702557,0.495961820851689
5,ADFR,sensory,GS,17,22,39,48,202,250,452.0,0.0141861778921599,463.669736199872,0.0145524366392528,1.26477212506624,0.0188530245449285,0.312242090784044,0.0350045635476369,0.55121235324145,ADF,Sensory neuron,GS,7,11,18,22,59,81,196.5,0.0061672211411713,153.12868977116,0.0048059974192191,2.78333333333333,0.027513658102592,0.205298013245033,0.0430012133024883,0.363520971302428,ADF,Sensory neuron,GS,6,11,17,18,45,63,138.0,0.0043311782060134,92.2264650683493,0.0028945598226209,inf,0.0160456195634073,0.24812030075188,0.0257728443571058,0.43890977443609
6,ADLL,sensory,GS,9,24,33,19,148,167,339.5,0.0106553260937794,292.358026588237,0.0091757587906671,1.26465201465201,0.0132222560900093,0.212237093690249,0.026833908577883,0.499888463989803,ADL,Sensory neuron,GS,8,19,27,11,64,75,191.5,0.0060102943945766,272.545545310696,0.0085539371448966,2.54090909090909,0.0164583777575951,0.184971098265896,0.0273526193683776,0.352769749518304,ADL,Sensory neuron,GS,10,21,31,18,98,116,1710.5,0.0536846400100433,659.020408177317,0.0206835857189542,inf,0.0113039748397228,0.186274509803922,0.0206336911255254,0.406517792302106
7,ADLR,sensory,GS,17,26,43,52,155,207,409.0,0.0128366078714456,504.71004931697,0.0158405012025915,1.24164696611505,0.0153487709767066,0.265432098765432,0.0310182655668213,0.499701277297075,ADL,Sensory neuron,GS,2,14,16,4,56,60,111.0,0.0034837737744021,36.6539885070842,0.0011503982332271,2.69166666666667,0.0211066658119069,0.15546218487395,0.0273168940269976,0.217787114845938,ADL,Sensory neuron,GS,6,16,22,13,72,85,405.5,0.0127267591488293,175.987439856973,0.0055234272756566,inf,0.0130652882633035,0.177631578947368,0.0200662789772024,0.30109649122807
8,AFDL,sensory,GS,10,7,17,28,36,64,243.0,0.0076266398845019,96.9791180059461,0.0030437234952591,1.26683013503909,0.0195320932963721,0.481060606060606,0.0293580081250813,0.527777777777778,AFD,Sensory neuron,GS,7,3,10,21,14,35,37.0,0.0011612579248007,21.0490868121673,0.0006606329424445,2.88333333333333,0.0307742375739342,0.337209302325581,0.0385543674145735,0.414728682170543,AFD,Sensory neuron,GS,6,6,12,19,15,34,74.0,0.0023225158496014,45.4865610295732,0.0014276116072303,inf,0.0143573293736186,0.285714285714286,0.0252898013315838,0.561111111111111
9,AFDR,sensory,GS,9,4,13,46,35,81,169.0,0.0053041240349005,22.6331771200271,0.0007103501701094,1.28651357094562,0.0253157787224627,0.46,0.0354200281131342,0.679333333333333,AFD,Sensory neuron,GS,6,2,8,16,15,31,89.0,0.0027932960893854,11.2823206823646,0.0003540995757442,2.82142857142857,0.0473744429242959,0.5,0.0654336686458586,0.717948717948718,AFD,Sensory neuron,GS,8,2,10,22,12,34,63.0,0.001977277007093,2.75179971988795,8.6366195464439e-05,inf,0.0214249052650846,0.375,0.0277480342356211,0.513257575757576
10,AIAL,interneuron,GS,22,18,40,195,101,296,3528.0,0.110727512397213,409.888159639715,0.012864483071989,1.2547619047619,0.0154077418591505,0.229465449804433,0.0324038891556908,0.540993046501521,AIA,Interneuron,GS,18,10,28,106,32,138,3035.83333333333,0.0952806896407424,856.958009915186,0.02689592649285,2.7,0.0275955137082098,0.243243243243243,0.0532237186526554,0.512950450450451,AIA,Interneuron,GS,20,9,29,113,37,150,3702.0,0.116188563178708,447.011239330684,0.0140296038958849,inf,0.0180785346227889,0.23375,0.0348952392356979,0.522041666666667
11,AIAR,interneuron,GS,15,13,28,189,89,278,2103.5,0.0660190822923859,188.364018752954,0.0059118705276804,1.23491295938104,0.0317674765623875,0.420980926430518,0.0540579827464884,0.544444444444444,AIA,Interneuron,GS,17,10,27,108,30,138,2775.66666666667,0.0871152679262654,540.915811474935,0.0169768316952776,2.58333333333333,0.025143931331196,0.21304347826087,0.0532597878354988,0.500434782608696,AIA,Interneuron,GS,18,10,28,123,43,166,3614.66666666667,0.113447576004854,651.688570174587,0.0204534734220886,inf,0.0171880945031847,0.207547169811321,0.0315092657777816,0.432434860736748
12,AIBL,interneuron,GS,33,23,56,260,172,432,2175.5,0.0682788274433494,899.176084016452,0.028220955496091,1.22619047619048,0.0130176285329594,0.167429692609549,0.0365586891809221,0.394887905901277,AIB,Interneuron,GS,30,15,45,166,71,237,2661.0,0.0835164145376938,664.558511939173,0.0208574010400845,3.25757575757576,0.0162649195766733,0.127918781725888,0.0412865373760405,0.350883490452018,AIB,Interneuron,GS,29,20,49,161,73,234,1890.0,0.0593183102127927,1188.28430585767,0.0372947180295546,inf,0.0102270997784614,0.134730538922156,0.0266337165895485,0.393179966597417
13,AIBR,interneuron,GS,31,25,56,284,126,410,1104.0,0.0346494256481075,975.340089867026,0.0306113894252409,1.30519480519481,0.0117855834664107,0.153695225637672,0.0295807056635354,0.46022454763462,AIB,Interneuron,GS,33,21,54,150,74,224,2367.16666666667,0.0742943527294792,1171.30698179427,0.0367618787833239,3.12735597735598,0.0134124002076422,0.115789473684211,0.0396499949128662,0.381233918128655,AIB,Interneuron,GS,27,23,50,169,75,244,1470.66666666667,0.0461573870650513,938.098242667286,0.0294425410415946,inf,0.0111255777821036,0.148770491803279,0.029233637316955,0.419555523028884
14,AIML,interneuron,GS,8,18,26,20,59,79,449.0,0.0140920218442031,225.338708211922,0.0070723340723093,1.33333333333333,0.0096390673127852,0.233438485804416,0.0194669674235378,0.508964248159832,AIM,Modulatory neuron,GS,2,21,23,7,49,56,493.166666666667,0.0154782081057895,279.963528606475,0.0087867531418767,2.33333333333333,0.0099535228308388,0.125,0.0159684370253579,0.209490740740741,AIM,Modulatory neuron,GS,5,15,20,8,41,49,472.0,0.0148138848785387,390.959518851586,0.0122704010687209,inf,0.0082495232314979,0.163101604278075,0.0154782395434135,0.350311942959002
15,AIMR,interneuron,GS,8,23,31,17,66,83,298.5,0.0093685267717029,238.187822895164,0.007475608025082,1.33491295938104,0.0092592719236844,0.257608695652174,0.0199801241183319,0.473279436152571,AIM,Modulatory neuron,GS,8,17,25,14,32,46,189.0,0.0059318310212792,237.074723253106,0.0074406730039892,2.59090909090909,0.01527920764852,0.264406779661017,0.0301311226666502,0.415796519410977,AIM,Modulatory neuron,GS,6,18,24,18,42,60,119.5,0.003750549243613,306.816444719505,0.0096295412943162,inf,0.006453265975155,0.134191176470588,0.0111092853601305,0.239185049019608
16,AINL,interneuron,GS,7,13,20,8,45,53,83.0,0.0026049839934718,181.522063089938,0.0056971333591719,1.38651357094562,0.00589342988777,0.165775401069519,0.0111431351976041,0.306932773109244,AIN,Interneuron,GS,2,13,15,3,33,36,7.0,0.0002196974452325,80.1553569914788,0.0025157038789617,2.96428571428571,0.0147919305317318,0.1875,0.0294084374698764,0.373958333333333,AIN,Interneuron,GS,3,14,17,3,41,44,2.0,6.27706986378758e-05,124.385739729262,0.0039038898916973,inf,0.0096354765824626,0.17910447761194,0.01657323574019,0.32089552238806
17,AINR,interneuron,GS,4,18,22,7,53,60,0.0,0.0,113.920707120602,0.0035754411876405,1.3779412461502,0.0094275574466374,0.275330396475771,0.0174359174223988,0.336936592818946,AIN,Interneuron,GS,1,12,13,1,42,43,0.0,0.0,32.4476320126163,0.0010183802652883,2.96666666666667,0.01884834762325,0.16025641025641,0.0324303424039496,0.290598290598291,AIN,Interneuron,GS,6,12,18,9,33,42,67.6666666666667,0.0021237419705814,277.395658326265,0.0087061596361265,inf,0.0064606293103077,0.125827814569536,0.0122094605398594,0.252152317880795
18,AIYL,interneuron,GS,12,12,24,121,191,312,1542.0,0.0483962086498023,246.084277962469,0.0077234410257507,1.22683013503909,0.0302348361949363,0.283333333333333,0.0500931231536914,0.512746913580247,AIY,Interneuron,GS,13,5,18,61,22,83,480.5,0.0150806603477497,172.984060248065,0.0054291651574937,2.8,0.0291344541394838,0.246710526315789,0.0544148152021988,0.495888157894737,AIY,Interneuron,GS,11,15,26,61,33,94,666.0,0.0209026426464127,415.837789719328,0.0130512142903562,inf,0.0132661889706267,0.215625,0.0282510704059479,0.493385416666667
19,AIYR,interneuron,GS,12,14,26,130,202,332,1137.0,0.0356851421756324,212.519550911198,0.0066700003424517,1.25203081232493,0.0251149876173903,0.292452830188679,0.044362444021669,0.596305031446541,AIY,Interneuron,GS,10,12,22,57,41,98,753.0,0.0236331680371603,300.556776891751,0.0094330794329217,2.75,0.0286868595765356,0.245575221238938,0.0471771711070737,0.459992625368731,AIY,Interneuron,GS,12,9,21,65,28,93,958.0,0.0300671646475425,211.507755928992,0.006638244803496,inf,0.0180259130579113,0.290243902439024,0.0325888300563721,0.550691056910569
20,AIZL,interneuron,GS,23,19,42,216,247,463,4293.0,0.1347373046262,503.355864939684,0.0157979996528681,1.21190476190476,0.0175639990444297,0.202464788732394,0.039382494437444,0.491950312989046,AIZ,Interneuron,GS,12,15,27,70,102,172,3428.5,0.107604670139979,453.035882413917,0.0142186894235741,2.7,0.0229230387374302,0.165229885057471,0.047534998797938,0.359425173326035,AIZ,Interneuron,GS,19,20,39,94,132,226,4029.5,0.12646726508066,903.891162218534,0.0283689398725295,inf,0.0127977631964295,0.16508152173913,0.0282980788648148,0.397780797101449
21,AIZR,interneuron,GS,18,16,34,206,187,393,2375.0,0.0745402046324776,357.788890575983,0.0112293293131625,1.23774509803922,0.0217274636779854,0.232851985559567,0.0460365198788725,0.526594464500602,AIZ,Interneuron,GS,16,16,32,78,97,175,2652.5,0.0832496390684828,830.490917994481,0.0260652475674622,2.75,0.0192203802555721,0.164300202839757,0.0437602591239342,0.387707669274606,AIZ,Interneuron,GS,14,17,31,73,111,184,3660.0,0.114870378507313,544.768000759691,0.0170977340016223,inf,0.0144207233757566,0.195652173913043,0.0324167287686483,0.453242753623188
22,ALA,interneuron,GS,5,6,11,12,22,34,81.0,0.0025422132948339,82.1349808169237,0.0025778350642434,1.5171568627451,0.0071804983458097,0.175925925925926,0.0106255232762208,0.257561728395062,ALA,Modulatory neuron,GS,1,5,6,1,10,11,0.0,0.0,15.667733339899,0.0004917372839087,3.54090909090909,0.0066245463001079,0.166666666666667,0.0078634500022758,0.2,ALA,Modulatory neuron,GS,4,4,8,4,6,10,0.0,0.0,24.4365626643034,0.0007669500553732,inf,0.0029906302876682,0.0892857142857143,0.003726017678226,0.113095238095238
23,ALML,sensory,GS,12,16,28,20,58,78,157.0,0.0049274998430732,264.383421490798,0.0082977660376246,1.4493746993747,0.0090017539107527,0.276280323450135,0.0191444948641428,0.425291088222123,ALM,Sensory neuron,GS,4,9,13,5,26,31,64.5833333333333,0.002026970476848,125.237149846124,0.0039306116956287,3.1,0.0105584417300488,0.190789473684211,0.0132483329817036,0.239583333333333,ALM,Sensory neuron,GS,4,9,13,6,32,38,204.0,0.0064026112610633,154.549826620213,0.0048506002956566,inf,0.0075636120289671,0.177631578947368,0.0121903072459966,0.323026315789474
24,ALMR,sensory,GS,4,8,12,8,32,40,12.0,0.0003766241918272,23.7458137954159,0.0007452706608315,1.43952702702703,0.0057290104340925,0.207692307692308,0.010774197325306,0.358974358974359,ALM,Sensory neuron,GS,7,9,16,12,26,38,622.083333333333,0.019524302722156,310.074768466092,0.0097318049232971,3.26709956709957,0.0088890910580079,0.123931623931624,0.0126918472544147,0.179202279202279,ALM,Sensory neuron,GS,5,9,14,9,30,39,717.0,0.0225032954616785,284.185189063372,0.0089192514300223,inf,0.0071302957648624,0.160919540229885,0.0084402192737305,0.191091954022989
25,ALNL,sensory,GS,4,8,12,14,21,35,0.0,0.0,31.6966700591455,0.0009948110620534,1.36363636363636,0.0134624092760678,0.3125,0.021227221711244,0.489583333333333,ALN,Sensory neuron,GS,3,6,9,5,19,24,0.0,0.0,60.8733182993034,0.0019105303590265,3.53651903651904,0.018788073845607,0.257142857142857,0.0245942599521303,0.335714285714286,ALN,Sensory neuron,GS,2,6,8,4,18,22,23.0,0.0007218630343355,54.3215576709565,0.0017049010630518,inf,0.0096682269451713,0.211538461538462,0.0113228611347314,0.25
26,ALNR,sensory,GS,9,7,16,23,25,48,0.0,0.0,116.903351392553,0.0036690525200098,1.4344246031746,0.0113944643094621,0.21304347826087,0.016476589179552,0.311304347826087,ALN,Sensory neuron,GS,3,9,12,5,23,28,0.0,0.0,73.649453758014,0.0023115138333442,3.40993173493173,0.0078815241386238,0.09375,0.010581362641962,0.129557291666667,ALN,Sensory neuron,GS,3,6,9,4,18,22,2.0,6.27706986378758e-05,60.4112426226538,0.0018960279525031,inf,0.0071551483965547,0.114285714285714,0.0091656321297414,0.152380952380952
27,AQR,sensory,GS,9,19,28,32,84,116,380.0,0.0119264327411964,112.772690268064,0.0035394102776995,1.4047619047619,0.0192509492880918,0.347708894878706,0.0348032961549425,0.637241689128481,AQR,Sensory neuron,GS,11,17,28,19,54,73,296.833333333333,0.0093162178561714,338.486334900753,0.0106235118605472,3.08257575757576,0.0149985430137473,0.18230563002681,0.0258411408836843,0.349495723222265,AQR,Sensory neuron,GS,9,19,28,18,74,92,1115.5,0.0350103571652753,368.273369939133,0.0115583883604021,inf,0.0110725357385436,0.17379679144385,0.0172066402107662,0.307499363381716
28,ASEL,sensory,GS,13,17,30,37,129,166,352.0,0.0110476429602661,302.550633076917,0.0094956573057848,1.25808013503909,0.0184335899700089,0.26518691588785,0.0323727032512163,0.501947040498442,ASE,Sensory neuron,GS,9,12,21,18,60,78,225.0,0.007061703596761,293.707080838987,0.0092180993295771,2.45,0.0255176732687751,0.240291262135922,0.0460184044461723,0.460881877022654,ASE,Sensory neuron,GS,5,15,20,9,51,60,101.5,0.0031856129558722,115.837664822973,0.003635605574759,inf,0.0144711273267023,0.262032085561497,0.0247923071612879,0.477361853832442
29,ASER,sensory,GS,21,17,38,78,115,193,1265.0,0.0397024668884565,344.109529824011,0.0107999977975021,1.23585992907801,0.0162607639353926,0.276086956521739,0.0335052915696004,0.57719806763285,ASE,Sensory neuron,GS,14,18,32,31,68,99,815.5,0.0255947523695939,737.828349451357,0.0231570004849462,2.5,0.0233291387502725,0.280287474332649,0.0446965389049232,0.435948477751756,ASE,Sensory neuron,GS,11,11,22,28,71,99,133.0,0.0041742514594187,186.443963906038,0.0058516089355984,inf,0.017548392448185,0.251101321585903,0.0347994444474251,0.516336270190896
30,ASGL,sensory,GS,7,4,11,17,67,84,5.0,0.0001569267465946,78.8012643666305,0.0024732052089206,1.27650103519669,0.0282791757403916,0.330188679245283,0.0324499226438353,0.405660377358491,ASG,Sensory neuron,GS,5,3,8,11,15,26,0.0,0.0,17.1740265995751,0.0005390128240403,2.78333333333333,0.0457068662124271,0.480769230769231,0.0590201630128241,0.647435897435897,ASG,Sensory neuron,GS,8,6,14,18,16,34,33.0,0.0010357165275249,181.965564707478,0.005711052812362,inf,0.0178752638201423,0.369318181818182,0.0271973649651256,0.598484848484849
31,ASGR,sensory,GS,11,4,15,26,75,101,0.0,0.0,20.0947096612937,0.0006306794821823,1.2545208025183,0.0271547052453296,0.407766990291262,0.035828042529335,0.632281553398058,ASG,Sensory neuron,GS,5,4,9,13,25,38,0.0,0.0,17.5474531591559,0.0005507329470578,2.6421568627451,0.0432297784272929,0.338235294117647,0.0440229506292009,0.323529411764706,ASG,Sensory neuron,GS,4,2,6,14,13,27,0.0,0.0,2.50540465587654,7.86330003099787e-05,inf,0.0317936098364258,0.357142857142857,0.034913063917814,0.392857142857143
32,ASHL,sensory,GS,10,20,30,22,141,163,124.0,0.0038917833155483,172.059130786161,0.0054001359232364,1.29642857142857,0.0180748081895256,0.294871794871795,0.0332159077008226,0.569017094017094,ASH,Sensory neuron,GS,7,21,28,16,77,93,391.0,0.0122716715837047,169.535302102312,0.0053209246783727,2.66154401154401,0.0213789172342592,0.268716577540107,0.0360268061717936,0.404813664596273,ASH,Sensory neuron,GS,8,23,31,17,83,100,681.666666666667,0.0213943464524094,322.266538756904,0.0101144478926905,inf,0.0093545141316985,0.183695652173913,0.0178986157425154,0.390971790890269
33,ASHR,sensory,GS,18,21,39,40,142,182,626.0,0.0196472286736551,313.196048344816,0.009829767382613,1.27062724509533,0.0156691171730001,0.309426229508197,0.0309248632292877,0.565742147922999,ASH,Sensory neuron,GS,10,17,27,16,73,89,313.416666666667,0.0098366915657104,450.435163859962,0.0141370649632779,2.53449883449883,0.0159639973065939,0.197406340057637,0.031485567689428,0.424351585014409,ASH,Sensory neuron,GS,6,24,30,10,88,98,173.5,0.0054453581068357,357.351738635497,0.0112156091468049,inf,0.0069388200636349,0.129370629370629,0.0135441746916259,0.279778554778555
34,ASIL,sensory,GS,5,17,22,17,43,60,29.0,0.0009101751302492,77.3861629810648,0.0024287917576129,1.36085992907801,0.0108856737709287,0.234649122807018,0.0202983467406215,0.470102339181286,ASI,Sensory neuron,GS,2,10,12,3,32,35,0.0,0.0,54.3798984015184,0.00170673210726,2.7,0.0358226002131064,0.315384615384615,0.0479585009424723,0.453205128205128,ASI,Sensory neuron,GS,3,11,14,3,38,41,11.0,0.0003452388425083,70.6009256922377,0.0022158347150912,inf,0.0190727866858724,0.275280898876405,0.0299299328822872,0.478932584269663
35,ASIR,sensory,GS,4,12,16,6,27,33,0.0,0.0,82.0707473848728,0.0025758190755405,1.46016548463357,0.0184695712849173,0.432203389830508,0.0257213363525797,0.642302259887006,ASI,Sensory neuron,GS,2,8,10,2,41,43,0.0,0.0,8.33292121199958,0.0002615316430857,2.76666666666667,0.0492273123100107,0.363636363636364,0.0658759976186574,0.516098484848485,ASI,Sensory neuron,GS,4,9,13,4,31,35,0.0,0.0,51.5971388066824,0.0016193942253054,inf,0.0224423501516968,0.361842105263158,0.032855074358844,0.581140350877193
