neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
DVB,motor,GS,-0.460683407510515,0.612426035502959,2
RIBL,interneuron,GS,-0.0462860730291882,0.660336011687363,3
RIBR,interneuron,GS,1.27125237784817,0.4222837796245,2
RIGL,interneuron,GS,2.58879082872553,0.177143929442672,5
RIGR,interneuron,GS,3.02797031235131,0.273760330578512,5
RMGL,interneuron,GS,0.570545574426557,0.20414201183432,2
RMGR,interneuron,GS,-0.210978379388858,0.1171875,2
AIBL,interneuron,GS,-1.12499662371896,0.48,2
AIBR,interneuron,GS,-0.687360088841402,0.473372781065089,2
RICL,interneuron,GS,-0.702630212814774,0.255102040816326,2
RICR,interneuron,GS,-0.742294821602705,0.297520661157025,2
SAADL,interneuron,GS,0,0,1
SAADR,interneuron,GS,0,0,1
SAAVL,interneuron,GS,-0.705055298467867,0,1
SAAVR,interneuron,GS,0.153645196329254,0,1
AVKL,interneuron,GS,0.0214493346869757,0.582514487276392,2
AVKR,interneuron,GS,0.0509973541559111,0.498724619936741,2
DVC,interneuron,GS,-0.409582390879097,0.70444736348283,3
AVJL,interneuron,GS,0.169243129103774,0.404489795918367,2
AVJR,interneuron,GS,0.345619110391998,0.329244444444444,2
PVT,interneuron,GS,-0.230728832669132,0.54,2
AVDL,interneuron,GS,-0.0595526486527237,0.254757785467128,2
AVDR,interneuron,GS,-0.0999896323058077,0.463707739144368,2
AVL,interneuron,GS,-0.144564468897336,0.610177514792899,2
PVWL,interneuron,GS,-0.455835088452947,0.297520661157025,2
PVWR,interneuron,GS,-0.496272072106031,0.571428571428571,2
RIAL,interneuron,GS,-1.14020908854868,0,1
RIAR,interneuron,GS,-1.07551637430478,0.375,2
RIML,interneuron,GS,0.735879624524324,0.379535990481856,2
RIMR,interneuron,GS,0.735879624524324,0.491900826446281,2
AVEL,interneuron,GS,-0.169818374890229,0.523668639053254,2
AVER,interneuron,GS,0.994650481499911,0.452311536859642,2
RMFL,motor,GS,0,0,1
RMFR,motor,GS,-1.14020908854868,0.444444444444444,2
RID,interneuron,GS,-0.695571281991924,0.53185595567867,2
AVBL,interneuron,GS,3.30319754179425,0.493194706994329,6
AVBR,interneuron,GS,2.91710951742869,0.531206863598717,6
AVAL,interneuron,GS,4.84140977010106,0.196151582740608,5
AVAR,interneuron,GS,3.6121254670473,0.250943781246812,5
PVCL,interneuron,GS,-0.0110282682690229,0.414277988101677,2
PVCR,interneuron,GS,0.797711404792657,0.33290853837859,2
RIPL,interneuron,GS,0,0,1
RIPR,interneuron,GS,-0.979542475733983,0,1
URADL,motor,GS,0,0,1
URADR,motor,GS,-0.92464504028076,0,1
URAVL,motor,GS,0.337995975143374,0.0739644970414202,2
URAVR,motor,GS,0.173303668783705,0,1
RMEL,motor,GS,-0.869747604827536,0,1
RMER,motor,GS,-0.75995273392109,0,1
RMED,motor,GS,-0.75995273392109,0.62,2
RMEV,motor,GS,-0.234511089134125,0,1
RMDDL,motor,GS,-0.540362992108197,0.375,2
RMDDR,motor,GS,0.667380587862713,0,1
RMDL,motor,GS,0,0,1
RMDR,motor,GS,1.65553442602073,0,1
RMDVL,motor,GS,-0.622667374597505,0,1
RMDVR,motor,GS,-0.234511089134125,0,1
RIVL,motor,GS,0.735879624524324,0,1
RIVR,motor,GS,1.90034848091446,0.0392,1
RMHL,motor,GS,-0.0407532553161826,0.655555555555556,3
RMHR,motor,GS,0.0635087978772582,0,1
SABD,interneuron,GS,0,0,1
SABVL,interneuron,GS,0,0,1
SABVR,interneuron,GS,0,0,1
SMDDL,motor,GS,-0.485465556654974,0,1
SMDDR,motor,GS,-0.540362992108197,0,1
SMDVL,motor,GS,1.77096305242667,0.0783007080383173,2
SMDVR,motor,GS,1.90034848091446,0.222576530612245,2
SMBDL,motor,GS,-0.888615294174705,0,1
SMBDR,motor,GS,-0.814850169374313,0.571428571428571,2
SMBVL,motor,GS,-0.105125660646332,0.185,2
SMBVR,motor,GS,-0.540362992108197,0.42603550295858,2
SIBDL,motor,GS,-0.0337060973652474,0.18,2
SIBDR,motor,GS,0.0635087978772582,0,1
SIBVL,motor,GS,-0.337060973652474,0.434285714285714,2
SIBVR,motor,GS,0.557585716956267,0.169921875,2
SIADL,motor,GS,-0.979542475733983,0,1
SIADR,motor,GS,-0.979542475733983,0.5,2
SIAVL,motor,GS,-0.971348442253039,0.444444444444444,2
SIAVR,motor,GS,-1.14020908854868,0,1
DA01,motor,GS,-0.431572898261097,0,1
DA02,motor,GS,-0.350698930954929,0,1
DA03,motor,GS,-0.374961121146779,0,1
DA04,motor,GS,-0.480097278644797,0.495867768595041,2
DA05,motor,GS,-0.0191156649996397,0,1
DA06,motor,GS,0.449953345376135,0.0623359999999999,2
DA07,motor,GS,-0.22130058326506,0.0499671268902038,1
DA08,motor,GS,-0.326436740763078,0.53875,2
DA09,motor,GS,-0.399223311338629,0.587395957193817,2
PDA,motor,GS,-0.249649826455759,0.640150497178178,3
DB01,motor,GS,-0.337060973652474,0,1
DB02,motor,GS,-0.281905541600251,0,1
DB03,motor,GS,0.0214493346869757,0.20551649540292,2
DB04,motor,GS,-0.695571281991924,0.499054820415879,2
DB05,motor,GS,-0.337060973652474,0.515122873345936,2
DB06,motor,GS,0.0766047667391987,0.426020408163265,2
DB07,motor,GS,-0.309483257626363,0.613165680473373,2
AS01,motor,GS,-0.504359468836648,0,1
AS02,motor,GS,-0.42348550153048,0,1
AS03,motor,GS,0,0,1
AS04,motor,GS,-0.496272072106031,0,1
AS05,motor,GS,0,0,1
AS06,motor,GS,0,0,1
AS07,motor,GS,0.0294087153840611,0,1
AS08,motor,GS,-0.350698930954929,0,1
AS09,motor,GS,-0.269824963648761,0.16,2
AS10,motor,GS,-0.407310708069246,0.41,2
AS11,motor,GS,-0.278832204752046,0.318181818181818,2
PDB,motor,GS,0.556017188066678,0.758551457465794,3
DD01,motor,GS,-0.0759068099053886,0,1
DD02,motor,GS,-0.227720429716166,0,1
DD03,motor,GS,-1.13860214858083,0.56198347107438,2
DD04,motor,GS,-0.279541052410179,0.513700155936734,2
DD05,motor,GS,-0.213433371096961,0.587456597222222,2
DD06,motor,GS,-0.712636777337347,0.666015625,3
VA01,motor,GS,-0.358786327685545,0,1
VA02,motor,GS,-0.407310708069246,0.1171875,2
VA03,motor,GS,-0.415398104799863,0.124444444444444,2
VA04,motor,GS,-0.374961121146779,0.095,2
VA05,motor,GS,-0.488184675375414,0,1
VA06,motor,GS,-0.407310708069246,0,1
VA07,motor,GS,-0.463922485183564,0,1
VA08,motor,GS,-0.472009881914181,0,1
VA09,motor,GS,0.53891470941292,0.0707549682987906,2
VA10,motor,GS,0.474215535567985,0.475453325426797,2
VA11,motor,GS,0.0294087153840611,0.210059171597633,2
VA12,motor,GS,0.231593633649481,0.13175178904029,2
VB01,motor,GS,-0.943770726226928,0,1
VB02,motor,GS,-0.116439245443582,0,1
VB03,motor,GS,-0.392216405704697,0.0798611111111112,2
VB04,motor,GS,-0.695571281991924,0,1
VB05,motor,GS,-0.364638689678586,0.41522491349481,2
VB06,motor,GS,-0.0191156649996397,0.388125,2
VB07,motor,GS,-0.213213186534443,0.567085757177707,2
VB08,motor,GS,0.304380204225032,0.506805411030177,2
VB09,motor,GS,0.36099198133935,0.456785728412642,2
VB10,motor,GS,0.435115075078649,0.504326663061114,2
VB11,motor,GS,0.242071062895868,0.39613007256114,2
VD01,motor,GS,-1.44222938820238,0,1
VD02,motor,GS,0.53134766933772,0.104938271604938,2
VD03,motor,GS,0.683161289148498,0.0997229916897507,2
VD04,motor,GS,-0.683161289148498,0,1
VD05,motor,GS,-0.0759068099053886,0,1
VD06,motor,GS,2.04948386744549,0,1
VD07,motor,GS,0.379534049526943,0.4234404536862,2
VD08,motor,GS,-0.253097979884892,0.674248060367733,3
VD09,motor,GS,0.654277077646391,0.654747849553044,3
VD10,motor,GS,-0.271696824116787,0.540561322568243,2
VD11,motor,GS,-0.359884814760899,0.261245674740484,2
VD12,motor,GS,-0.492166800727067,0.1504,2
VD13,motor,GS,-0.448072805405011,0.468571428571429,2
CEMDL,sensory,MS,-0.881289146212449,0,1
CEMDR,sensory,MS,-0.650157863014644,0,1
CEMVL,sensory,MS,-0.156080943935635,0,1
CEMVR,sensory,MS,-0.42348550153048,0.503401360544218,2
MCML,interneuron,MS,-0.979542475733983,0,1
MCMR,interneuron,MS,0,0,1
R1AL,sensory,MS,-0.756730772659403,0.539792387543253,2
R1AR,sensory,MS,-0.844918763303516,0,1
R1BL,sensory,MS,-0.820094719858959,0.277777777777778,2
R1BR,sensory,MS,-0.690589779676319,0.618343195266272,2
R2AL,sensory,MS,0.125149133781718,0.476988823142669,2
R2AR,sensory,MS,-0.0732738451675343,0.552461572733348,2
R2BL,sensory,MS,-0.30738035761626,0.289115646258503,2
R2BR,sensory,MS,-0.511784424141934,0.485207100591716,2
R3AL,sensory,MS,-1.15054713203466,0.5,2
R3AR,sensory,MS,-1.05206436919049,0.244897959183674,2
R3BL,sensory,MS,-0.046862555420512,0.14993752603082,2
R3BR,sensory,MS,-0.845869125340241,0.662222222222222,3
R4AL,sensory,MS,-0.17573458282692,0.408163265306122,2
R4AR,sensory,MS,-0.149960177345638,0.405950413223141,2
R4BL,sensory,MS,-0.716188490667607,0.235537190082645,2
R4BR,sensory,MS,-0.843941032246154,0.345679012345679,2
R5AL,sensory,MS,-0.819198657084906,0.357142857142857,2
R5AR,sensory,MS,0.633859594396013,0.256410256410256,2
R5BL,sensory,MS,-0.866965760964544,0,1
R5BR,sensory,MS,-0.667993565965813,0.668639053254438,3
R6AL,sensory,MS,-0.562350665046143,0.237812128418549,2
R6AR,sensory,MS,0.64904639257409,0.161512578112482,2
R6BL,sensory,MS,-0.955153751608656,0.444444444444444,2
R6BR,sensory,MS,-0.974741152746649,0.551111111111111,2
R7AL,sensory,MS,-0.149960177345638,0.232684472612042,2
R7AR,sensory,MS,1.190308907681,0.219117123531506,2
R7BL,sensory,MS,0.80369282546178,0.136337868480726,2
R7BR,sensory,MS,-1.00051555822793,0.636678200692042,3
R8AL,sensory,MS,0.727415229169964,0,1
R8AR,sensory,MS,0.280281333645053,0.0644444444444444,2
R8BL,sensory,MS,-0.882266794719717,0.1171875,2
R8BR,sensory,MS,-0.869491540561863,0,1
R9AL,sensory,MS,-0.843941032246154,0.625514403292181,3
R9AR,sensory,MS,-0.974883469743576,0.615384615384615,2
R9BL,sensory,MS,-0.536576259564862,0.356290174471993,2
R9BR,sensory,MS,-0.536576259564862,0.0713305898491083,2
PHDL,sensory,MS,-0.946143065508991,0,1
PHDR,sensory,MS,-1.02279459045612,0.21875,2
HOA,sensory,MS,3.448544364793,0.501948415853198,6
HOB,sensory,MS,1.12344810806346,0.285161181718711,2
PCAL,sensory,MS,-0.205178324353423,0.207644628099174,2
PCAR,sensory,MS,-0.026324766143458,0.372306808388394,2
PCBL,sensory,MS,1.12344810806346,0.100477430555556,2
PCBR,sensory,MS,-0.026324766143458,0.237807048771805,2
PCCL,sensory,MS,1.40450369953626,0.334114536386034,2
PCCR,sensory,MS,1.251200649642,0.28945179584121,2
SPCL,sensory,MS,0.459134891855017,0.17554012345679,2
SPCR,sensory,MS,-0.403978810082955,0.605619834710744,2
SPDL,sensory,MS,0.126978283750797,0.340828402366864,2
SPDR,sensory,MS,0.0758772671193789,0.106799572801709,2
SPVL,sensory,MS,1.63445827437764,0.407779401022644,2
SPVR,sensory,MS,0.510235908486436,0.537557849768601,2
PVV,interneuron,MS,2.68522442559533,0.306548418883813,6
PVX,interneuron,MS,1.4479689934434,0.582296824055066,2
PVY,interneuron,MS,-0.315790819438843,0.560586734693878,2
