cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ADF,Sensory neuron,GS,ADFL,7,15,22,20,57,77,100,0.00313853493189379,169.187833763816,0.00531001926319175,Inf,0.0162015959416704,0.277533039647577,0.0263317775702557,0.495961820851689
ADF,Sensory neuron,GS,ADFR,6,11,17,18,45,63,138,0.00433117820601343,92.2264650683493,0.00289455982262097,Inf,0.0160456195634073,0.24812030075188,0.0257728443571058,0.43890977443609
ADL,Sensory neuron,GS,ADLL,10,21,31,18,98,116,1710.5,0.0536846400100433,659.020408177317,0.0206835857189542,Inf,0.0113039748397228,0.186274509803922,0.0206336911255254,0.406517792302106
ADL,Sensory neuron,GS,ADLR,6,16,22,13,72,85,405.5,0.0127267591488293,175.987439856973,0.00552342727565668,Inf,0.0130652882633035,0.177631578947368,0.0200662789772024,0.30109649122807
AFD,Sensory neuron,GS,AFDL,6,6,12,19,15,34,74,0.00232251584960141,45.4865610295732,0.00142761160723034,Inf,0.0143573293736186,0.285714285714286,0.0252898013315838,0.561111111111111
AFD,Sensory neuron,GS,AFDR,8,2,10,22,12,34,63,0.00197727700709309,2.75179971988795,8.6366195464439e-05,Inf,0.0214249052650846,0.375,0.0277480342356211,0.513257575757576
ALM,Sensory neuron,GS,ALML,4,9,13,6,32,38,204,0.00640261126106334,154.549826620213,0.00485060029565668,Inf,0.00756361202896712,0.177631578947368,0.0121903072459966,0.323026315789474
ALM,Sensory neuron,GS,ALMR,5,9,14,9,30,39,717,0.0225032954616785,284.185189063372,0.00891925143002233,Inf,0.00713029576486249,0.160919540229885,0.00844021927373059,0.191091954022989
ALN,Sensory neuron,GS,ALNL,2,6,8,4,18,22,23,0.000721863034335572,54.3215576709565,0.0017049010630518,Inf,0.00966822694517132,0.211538461538462,0.0113228611347314,0.25
ALN,Sensory neuron,GS,ALNR,3,6,9,4,18,22,2,6.27706986378758e-05,60.4112426226538,0.0018960279525031,Inf,0.00715514839655475,0.114285714285714,0.00916563212974145,0.152380952380952
AQR,Sensory neuron,GS,AQR,9,19,28,18,74,92,1115.5,0.0350103571652753,368.273369939133,0.0115583883604021,Inf,0.0110725357385436,0.17379679144385,0.0172066402107662,0.307499363381716
ASE,Sensory neuron,GS,ASEL,5,15,20,9,51,60,101.5,0.0031856129558722,115.837664822973,0.00363560557475907,Inf,0.0144711273267023,0.262032085561497,0.0247923071612879,0.477361853832442
ASE,Sensory neuron,GS,ASER,11,11,22,28,71,99,133,0.00417425145941874,186.443963906038,0.00585160893559844,Inf,0.017548392448185,0.251101321585903,0.0347994444474251,0.516336270190896
ASG,Sensory neuron,GS,ASGL,8,6,14,18,16,34,33,0.00103571652752495,181.965564707478,0.005711052812362,Inf,0.0178752638201423,0.369318181818182,0.0271973649651256,0.598484848484849
ASG,Sensory neuron,GS,ASGR,4,2,6,14,13,27,0,0,2.50540465587654,7.86330003099787e-05,Inf,0.0317936098364258,0.357142857142857,0.034913063917814,0.392857142857143
ASH,Sensory neuron,GS,ASHL,8,23,31,17,83,100,681.666666666667,0.0213943464524094,322.266538756904,0.0101144478926905,Inf,0.0093545141316985,0.183695652173913,0.0178986157425154,0.390971790890269
ASH,Sensory neuron,GS,ASHR,6,24,30,10,88,98,173.5,0.00544535810683573,357.351738635497,0.0112156091468049,Inf,0.00693882006363491,0.129370629370629,0.0135441746916259,0.279778554778555
ASI,Sensory neuron,GS,ASIL,3,11,14,3,38,41,11,0.000345238842508317,70.6009256922377,0.00221583471509126,Inf,0.0190727866858724,0.275280898876405,0.0299299328822872,0.478932584269663
ASI,Sensory neuron,GS,ASIR,4,9,13,4,31,35,0,0,51.5971388066824,0.00161939422530545,Inf,0.0224423501516968,0.361842105263158,0.032855074358844,0.581140350877193
