cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASIL,sensory,GS,5,17,22,17,43,60,33,0.000425466078749903,97.3402320083875,0.00125499899446104,Inf,0.0101599621862002,0.234649122807018,0.0189451236245801,0.470102339181287
ASIR,sensory,GS,4,12,16,6,27,33,0,0,110.787130950292,0.00142836867216281,Inf,0.0172382665325895,0.432203389830508,0.024006580595741,0.642302259887006
ASJL,sensory,GS,7,7,14,13,53,66,337,0.00434491116783992,253.01640094107,0.00326211805963062,Inf,0.0124024366246289,0.241573033707865,0.0194531852757624,0.44063670411985
ASJR,sensory,GS,3,3,6,10,32,42,102,0.00131507697068152,22.3286147711922,0.00028788085365504,Inf,0.0265034749680898,0.533333333333333,0.033623423865629,0.638888888888889
AWAL,sensory,GS,4,8,12,18,54,72,803,0.0103530079162476,21.3167468796246,0.000274834930502368,Inf,0.0224525031561816,0.296875,0.0332052578141263,0.471484375
AWAR,sensory,GS,11,13,24,21,93,114,254,0.00327479951522653,132.334501872288,0.00170617701802801,Inf,0.015921839949055,0.312962962962963,0.02831714235146,0.560030864197531
ASGL,sensory,GS,7,4,11,17,67,84,5,6.4464557386349e-05,85.3363997224181,0.00110023464741005,Inf,0.0263938973576988,0.330188679245283,0.0302865944675796,0.40566037735849
ASGR,sensory,GS,11,4,15,26,75,101,0,0,20.5152710775412,0.000264501573934932,Inf,0.0253443915623076,0.407766990291262,0.0334395063607127,0.632281553398058
AWBL,sensory,GS,9,16,25,28,74,102,47,0.000605966839431681,228.836969338498,0.00295037478840796,Inf,0.0126292494615089,0.249152542372881,0.0256347245980754,0.543559322033898
AWBR,sensory,GS,8,15,23,19,40,59,0,0,128.418978670963,0.00165569452400612,Inf,0.0131911666966587,0.330645161290323,0.0217892440350677,0.596942204301075
ASEL,sensory,GS,13,17,30,37,129,166,504,0.00649802738454398,339.430988883516,0.00437625369231732,Inf,0.0172046839720083,0.26518691588785,0.0302145230344686,0.501947040498442
ASER,sensory,GS,21,17,38,78,115,193,1634.83333333333,0.0210777614467566,444.836647835025,0.00573523952238242,Inf,0.0151767130063665,0.276086956521739,0.0312716054649604,0.57719806763285
ADFL,sensory,GS,10,20,30,42,136,178,652,0.00840617828317991,236.681081526181,0.00305150823246152,Inf,0.015347717206324,0.279205607476636,0.0282432143120797,0.577239096573209
ADFR,sensory,GS,17,22,39,48,202,250,627,0.00808385549624816,543.149614365658,0.00700277989692966,Inf,0.0175961562419333,0.312242090784044,0.0326709259777944,0.55121235324145
AFDL,sensory,GS,10,7,17,28,36,64,349,0.00449962610556716,132.976140692182,0.00171444961053327,Inf,0.0182299537432807,0.481060606060606,0.0274008075834092,0.527777777777778
AFDR,sensory,GS,9,4,13,46,35,81,262,0.00337794280704469,32.8419536933512,0.000423428401708971,Inf,0.0236280601409652,0.46,0.033058692905592,0.679333333333333
AWCL,sensory,GS,12,14,26,57,67,124,405,0.00522162914829427,187.512618362402,0.00241758358941752,Inf,0.0196200041958782,0.34012539184953,0.0314225505912694,0.585841170323929
AWCR,sensory,GS,14,17,31,62,111,173,1186,0.015290993012042,294.278621870577,0.0037941082214303,Inf,0.0214182035058327,0.324175824175824,0.0374891066177218,0.586813186813187
ASKL,sensory,GS,9,5,14,50,48,98,246,0.00317165622340837,31.3166188139164,0.000403762394135227,Inf,0.0331477259419556,0.385057471264368,0.0489921541704885,0.626436781609195
ASKR,sensory,GS,7,12,19,27,55,82,302,0.00389365926613548,132.248974964263,0.00170507432717391,Inf,0.0143317208286537,0.30952380952381,0.0242802189291071,0.558730158730159
ASHL,sensory,GS,10,20,30,22,141,163,134,0.00172765013795415,294.160957220671,0.00379259118151506,Inf,0.0168698209768906,0.294871794871795,0.0310015138541011,0.569017094017094
ASHR,sensory,GS,18,21,39,40,142,182,1667,0.0214924834326088,569.192260310005,0.007338545425724,Inf,0.0146245093614668,0.309426229508197,0.0288632056806685,0.565742147922999
ADLL,sensory,GS,9,24,33,19,148,167,567.333333333333,0.00731457844477106,484.319687306873,0.00624429085514651,Inf,0.0123407723506753,0.212237093690249,0.0250449813393575,0.499888463989803
ADLR,sensory,GS,17,26,43,52,155,207,1171,0.0150975993398829,818.56235100821,0.0105536519301747,Inf,0.0143255195782595,0.265432098765432,0.0289503811956999,0.499701277297074
BAGL,sensory,GS,10,19,29,43,78,121,534,0.00688481472886207,328.643616044575,0.00423717304923255,Inf,0.0122696192783462,0.22875,0.0248405261027682,0.529520833333333
BAGR,sensory,GS,13,11,24,38,75,113,256,0.00330058533818107,213.838017435667,0.00275699462927292,Inf,0.0157448191282367,0.261992619926199,0.029492958965557,0.552152521525215
URXL,sensory,GS,18,25,43,73,93,166,399,0.00514427167943065,994.228991243466,0.0128185063722373,Inf,0.0104159954230646,0.243834080717489,0.0225237793023902,0.464804526748971
URXR,sensory,GS,22,26,48,76,131,207,1089,0.0140403805987468,1106.99855652053,0.0142724343946847,Inf,0.00934503340610744,0.191756272401434,0.0229507216369083,0.505727299880526
ALNL,sensory,GS,4,8,12,14,21,35,0,0,33.4558678594812,0.000431343542707527,Inf,0.01256491532433,0.3125,0.0198120735971611,0.489583333333333
ALNR,sensory,GS,9,7,16,23,25,48,0,0,181.44491880921,0.00233935327620754,Inf,0.0106348333554979,0.21304347826087,0.0153781499009152,0.311304347826087
PLNL,sensory,GS,4,3,7,27,25,52,332,0.00428044661045357,10.9548233557998,0.000141239567775454,Inf,0.0361197495201462,0.421052631578947,0.0500059554530421,0.603070175438596
PLNR,sensory,GS,3,6,9,16,32,48,750,0.00966968360795235,36.7888212000541,0.000474315015085404,Inf,0.0171327397178458,0.287878787878788,0.0216344622193704,0.348484848484849
SDQL,sensory,GS,6,20,26,31,60,91,1069,0.0137825223692014,208.538809902752,0.00268867241565137,Inf,0.0101889990568887,0.224299065420561,0.0209440654665974,0.491147455867082
