,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
79,IL1VL,sensory,GS,11,12,23,83,89,172,755.0,0.0097341481653387,120.001110677296,0.0015471636971364,1.27215705441512,0.0064059815307135,0.357723577235772,0.0111609219861104,0.480923202614379,sensory,GS,9,9,18,61,175,236,64.0,0.000503572215403,369.20870518745,0.0029050507127706,inf,0.0043532918091514,0.216216216216216,0.0093569959775837,0.469707207207207
80,IL1VR,sensory,GS,10,9,19,87,101,188,930.0,0.0119904076738609,87.2879101133921,0.0011253952981278,1.33660130718954,0.0062480757553666,0.284848484848485,0.0094462206498733,0.469191919191919,sensory,GS,10,10,20,90,126,216,830.0,0.0065307021685078,367.948196439,0.0028951326317864,inf,0.0039404215290209,0.204918032786885,0.0065139825816207,0.353779599271403
81,AINL,interneuron,GS,9,15,24,13,50,63,143.0,0.0018436863412495,205.17146773967,0.002645257571229,1.37020379880981,0.001586807477508,0.203703703703704,0.0031545609321896,0.386768077601411,interneuron,GS,0,5,5,0,27,27,0.0,0.0,0.0,0.0,1.28747027825975,0.0036851448218232,0.3,0.0055634671307696,0.470833333333333
82,AINR,interneuron,GS,10,22,32,22,68,90,33.0,0.0004254660787499,175.832847139382,0.0022669973329643,1.35652590223486,0.0022786021753873,0.29320987654321,0.0048988130052148,0.475743348982786,interneuron,GS,7,9,16,26,69,95,61.0,0.0004799672678059,586.698211499756,0.0046163268459049,inf,0.0040009827043762,0.183760683760684,0.0056669379501365,0.286324786324786
83,AIML,interneuron,GS,10,19,29,23,62,85,30.0,0.000386787344318,227.846797108425,0.0029376085854983,1.33333333333333,0.0022371380384407,0.228535353535354,0.0045672652817214,0.496212121212121,interneuron,GS,4,7,11,27,57,84,294.0,0.0023132848645076,224.342378247895,0.0017651966941105,inf,0.0041918700122611,0.207547169811321,0.0047085111798041,0.19811320754717
84,AIMR,interneuron,GS,12,25,37,23,72,95,3.0,3.86787344318094e-05,293.460773105606,0.0037835637697017,1.33404452690167,0.002246188742259,0.286149162861492,0.0047561454577924,0.519647927314026,interneuron,GS,6,7,13,11,95,106,350.0,0.0027539105529852,508.018922226861,0.0039972533458192,inf,0.0066912759493867,0.388888888888889,0.008656186214664,0.532407407407407
85,RIH,interneuron,GS,27,30,57,116,272,388,2187.5,0.0282032438565277,1352.62235796754,0.0174392403234515,1.16666666666667,0.002320445309161,0.130861850443599,0.0065594853558088,0.428849809885932,interneuron,GS,14,32,46,129,413,542,5927.0,0.0466355081358386,1781.60347749871,0.0140182189083397,inf,0.0040737911304523,0.166015625,0.0122613269174391,0.342100376475376
86,URBL,interneuron,GS,9,20,29,36,81,117,123.0,0.0015858281117041,176.753023253667,0.0022788610821493,1.32040598290598,0.0026487945987263,0.280701754385965,0.0056262658043653,0.489120082815735,interneuron,GS,2,7,9,38,47,85,2.0,1.57366317313442e-05,15.3418777386837,0.0001207147400204,inf,0.0066803200718389,0.367647058823529,0.0083971705426648,0.448529411764706
87,URBR,interneuron,GS,13,26,39,57,90,147,297.0,0.0038291947087491,239.487459320246,0.0030876906129321,1.32822104018913,0.0024347205342791,0.222602739726027,0.0051521319852132,0.508641552511415,interneuron,GS,1,2,3,10,5,15,0.0,0.0,0.626874003189793,4.93244266507563e-06,inf,0.0031869051343116,0.333333333333333,0.0031869051343116,0.333333333333333
88,RIR,interneuron,GS,23,27,50,79,112,191,159.0,0.0020499729248859,460.557160178691,0.0059379226964066,1.27678571428571,0.0028627348525128,0.247311827956989,0.0066422221776985,0.577715743038324,interneuron,GS,8,12,20,89,72,161,2778.0,0.0218581814748371,430.416583499206,0.0033866536327951,inf,0.0047955277498657,0.202702702702703,0.0085092781461186,0.383839553839554
89,AIYL,interneuron,GS,14,15,29,133,203,336,1503.0,0.0193780459503365,223.735912121161,0.0028846073092643,1.20837775408671,0.0060139987940612,0.260705289672544,0.0104894617324796,0.526490344248531,interneuron,GS,10,11,21,121,492,613,1370.0,0.0107795927359708,678.745788010715,0.0053405862525628,inf,0.0080860053896308,0.195652173913043,0.0156525185408594,0.44987922705314
90,AIYR,interneuron,GS,15,17,32,139,211,350,1257.0,0.0162063897269281,155.95643973219,0.0020107325717772,1.23572104018913,0.0051372899835487,0.302061855670103,0.0093934817319458,0.617182130584192,interneuron,GS,7,11,18,105,436,541,1425.0,0.0112123501085828,320.230757816471,0.0025196767524035,inf,0.0098495230670769,0.231543624161074,0.016964509512324,0.486241610738255
91,AIAL,interneuron,GS,26,23,49,216,122,338,2523.0,0.0325288156571517,447.605198197901,0.0057709341971313,1.25087719298246,0.0039456933418602,0.280709342560554,0.00805657530437,0.600093713956171,interneuron,GS,14,9,23,197,159,356,2908.5,0.0228849966953073,446.283535974466,0.0035114998266961,inf,0.0100102753293064,0.267206477732794,0.018657025330539,0.376056910569106
92,AIAR,interneuron,GS,17,16,33,214,114,328,3292.0,0.0424434645831722,100.753429461859,0.001299005047083,1.23404452690167,0.0089868309733362,0.489299610894942,0.0140781478563769,0.687407817109144,interneuron,GS,14,10,24,270,47,317,3118.0,0.0245334088691656,974.885098734545,0.0076707038895803,inf,0.0054889224790122,0.229323308270677,0.0086338594483791,0.382111528822055
93,AUAL,interneuron,GS,12,17,29,62,101,163,329.5,0.0042482143317604,221.619030422524,0.0028573145409159,1.26289682539683,0.0040825638299502,0.273989898989899,0.0072998251273195,0.539036195286195,interneuron,GS,4,6,10,11,89,100,0.0,0.0,207.724585350398,0.0016344426506027,inf,0.0102437742973231,0.348837209302326,0.0114883073533378,0.436046511627907
94,AUAR,interneuron,GS,13,12,25,61,90,151,1163.0,0.0149944560480648,140.656965240251,0.0018134778015039,1.26117558564367,0.0048212076828685,0.34020618556701,0.0079791316365493,0.61491981672394,interneuron,GS,10,6,16,34,86,120,70.0,0.000550782110597,435.155433183978,0.0034239403989549,inf,0.0064823234990333,0.267241379310345,0.0094816563989825,0.438074712643678
95,AIZL,interneuron,GS,26,25,51,248,280,528,4509.0,0.0581341378510095,668.966440920996,0.0086249251040586,1.19345238095238,0.003948776866147,0.212301587301587,0.0094502255796859,0.540436507936508,interneuron,GS,11,15,26,304,227,531,6942.5,0.0546257828974286,1043.0205995358,0.0082068155315503,inf,0.0066266923532863,0.19811320754717,0.0113683289167032,0.381420335429769
96,AIZR,interneuron,GS,21,19,40,238,219,457,3173.0,0.0409092081173771,372.033346824892,0.0047965930072057,1.23774509803922,0.0056040122047942,0.287662337662338,0.0117852288310477,0.606114718614719,interneuron,GS,13,14,27,346,289,635,4241.0,0.0333695275863154,870.325824860637,0.0068479984960551,inf,0.0109564940814157,0.283236994219653,0.0216977813902752,0.452935971685972
97,RIS,interneuron,GS,24,29,53,77,221,298,2734.5,0.0352556664345943,512.269559627684,0.0066046460847797,1.25,0.0042876217658587,0.311029411764706,0.0086718247506539,0.586287758346582,interneuron,GS,12,19,31,33,212,245,82.0,0.0006452019009851,510.367447805096,0.0040157322868874,inf,0.0057541009697638,0.325657894736842,0.0106082169795746,0.55144472361809
98,ALA,interneuron,GS,11,13,24,524,684,1208,457.0,0.0058920605451123,260.396979544181,0.0033572752062115,1.25957042957043,0.0056934975938167,0.226591760299625,0.0070714741263351,0.320349563046192,interneuron,GS,4,6,10,505,659,1164,451.0,0.0035486104554181,159.006154311534,0.0012511106467089,inf,0.026452511934086,0.0975609756097561,0.026452511934086,0.0975609756097561
99,PVQL,interneuron,GS,16,16,32,126,118,244,2087.0,0.0269075062530621,295.190355931856,0.0038058631279731,1.31581949963036,0.003578317449883,0.28202479338843,0.0074150398310161,0.585829889807163,interneuron,GS,14,12,26,134,135,269,2461.0,0.0193639253454191,949.698154287735,0.0074725250549817,inf,0.0046480005369524,0.200315457413249,0.0081095073945146,0.38621375995193
100,PVQR,interneuron,GS,23,27,50,137,143,280,1262.0,0.0162708542843145,927.382229768266,0.0119566569939953,1.29408036919558,0.0019150450947549,0.181668042939719,0.0053693067319027,0.509179741260666,interneuron,GS,24,27,51,241,252,493,7757.0,0.0610345261700186,1152.68703286249,0.0090697056688264,inf,0.0046018227062087,0.240031897926635,0.0098762032172765,0.524926900584795
101,ADAL,interneuron,GS,20,26,46,59,111,170,50.0,0.0006446455738634,453.960325584023,0.0058528702919473,1.29444444444444,0.0030258058848467,0.274682306940371,0.0061546450324013,0.530864527629234,interneuron,GS,4,17,21,20,90,110,454.0,0.0035722154030151,672.953399887977,0.0052950099131965,inf,0.0028886140005037,0.164251207729469,0.0048900207849736,0.316908212560386
102,RIFL,interneuron,GS,13,11,24,34,60,94,183.0,0.0023594028003403,105.971016899751,0.0013662749400447,1.32347554406378,0.0020621184210054,0.210332103321033,0.00424153864838,0.445571955719557,interneuron,GS,7,9,16,37,116,153,462.0,0.0036351619299405,417.716959725286,0.0032867289815667,inf,0.0064090701544206,0.26271186440678,0.0079546896683109,0.416101694915254
103,RIFR,interneuron,GS,17,23,40,48,90,138,196.0,0.0025270106495448,493.610457667524,0.006364075934962,1.30833333333333,0.0022849189070771,0.256809338521401,0.0048825485285061,0.566061392131431,interneuron,GS,11,8,19,105,65,170,19.0,0.0001494980014477,125.087855887104,0.0009842307610794,inf,0.0100448831550604,0.42814371257485,0.012663401287685,0.551378446115288
104,BDUL,interneuron,GS,7,13,20,52,57,109,143.5,0.0018501327969882,95.062708207603,0.0012256350817101,1.33333333333333,0.0020739520455131,0.232432432432432,0.0033146009282696,0.349099099099099,interneuron,GS,3,3,6,40,28,68,13.0,0.0001022881062537,15.0539625573339,0.0001184493324311,inf,0.0009034366070027,0.0769230769230769,0.0009034366070027,0.0769230769230769
105,BDUR,interneuron,GS,10,16,26,59,84,143,449.0,0.0057889172532941,204.473405572107,0.002636257517497,1.40238095238095,0.0028814640566836,0.248427672955975,0.0061109419562627,0.495754716981132,interneuron,GS,3,4,7,39,35,74,265.0,0.0020851037044031,27.1612088412738,0.0002137129704566,inf,0.0037523020604055,0.236842105263158,0.0038515911263705,0.25
106,PVR,interneuron,GS,31,44,75,198,303,501,6410.0,0.0826435625692994,1890.61636095522,0.0243755493792736,1.3125,0.0027917197894445,0.166848418756816,0.0089055761516379,0.409864729001005,interneuron,GS,16,17,33,81,96,177,201.0,0.001581531489,690.525449677537,0.0054332723513481,inf,0.0025861093438443,0.203846153846154,0.0051130513590949,0.383092948717949
107,AVFL,interneuron,GS,22,30,52,105,111,216,38.0,0.0004899306361362,510.087596593658,0.0065765142285353,1.44719065104622,0.0025949469174485,0.234327217125382,0.0054734743086346,0.567979102956167,interneuron,GS,31,36,67,200,351,551,660.0,0.0051930884713435,2186.96552381262,0.0172077355286928,inf,0.0055427349222408,0.267473732297853,0.0112932864572875,0.572458069568622
108,AVFR,interneuron,GS,16,26,42,96,110,206,534.5,0.0068912611846007,396.124082810215,0.0051071927336867,1.42393483709273,0.0033731287777579,0.267688679245283,0.005792728622316,0.535790094339623,interneuron,GS,29,36,65,122,313,435,947.0,0.0074512951247914,2144.45329719339,0.0168732359014996,inf,0.0051632932523194,0.277535177098496,0.0105793488714288,0.586883389940158
109,AVHL,interneuron,GS,28,34,62,120,131,251,1052.0,0.0135633428740878,889.028342478985,0.0114621637203655,1.35250626566416,0.0022708350667462,0.193048128342246,0.0057445527178804,0.521014769544181,interneuron,GS,16,18,34,28,34,62,0.0,0.0,1159.97833218958,0.0091270759150031,inf,0.0019189711496869,0.230072463768116,0.0039462532588516,0.476449275362319
110,AVHR,interneuron,GS,31,32,63,131,151,282,2816.0,0.0363064387199918,852.379578649339,0.0109896544525585,1.35273139558854,0.0028930666116924,0.22630761263594,0.0068684523116218,0.563222855170033,interneuron,GS,17,22,39,78,77,155,366.0,0.0028798036068359,1888.90795210859,0.0148625244083702,inf,0.0026111949156261,0.199315068493151,0.0053029893751689,0.42029843444227
111,PVPL,interneuron,GS,36,37,73,235,254,489,4929.0,0.0635491606714628,1057.22592319667,0.0136307202392496,1.31194629014396,0.0039781701045359,0.284751636503658,0.0095315360262156,0.590987780040733,interneuron,GS,33,34,67,218,230,448,2150.0,0.016916879111195,2007.03171576673,0.0157919594920745,inf,0.0037737543867053,0.237648673376029,0.0088556003367739,0.558912778286063
112,PVPR,interneuron,GS,32,35,67,243,290,533,3056.0,0.0394007374745365,1084.13713994889,0.0139776841745815,1.314101856959,0.0041791163423194,0.268069533394328,0.009356008629793,0.599229948154925,interneuron,GS,22,25,47,214,196,410,4092.0,0.0321971485223303,1107.65084868533,0.0087153467463359,inf,0.0049226026052729,0.227657572906867,0.0104902836678563,0.536853245531515
113,LUAL,interneuron,GS,12,13,25,48,118,166,4.0,5.15716459090792e-05,53.1631549511899,0.000685427850638,1.26966873706004,0.0099507533732464,0.570689655172414,0.0130464219657087,0.769540229885057,interneuron,GS,9,16,25,44,96,140,238.0,0.0018726591760299,139.750840369693,0.0010996037545218,inf,0.0047187206059592,0.295221843003413,0.0097917026911101,0.604379977246872
114,LUAR,interneuron,GS,13,16,29,67,131,198,35.0,0.0004512519017044,78.9315993048906,0.0010176581225972,1.2547619047619,0.009316687677634,0.552030456852792,0.0139795857775139,0.770093062605753,interneuron,GS,7,13,20,39,63,102,177.0,0.0013926919082239,172.905029117306,0.0013604713838582,inf,0.0060390062578521,0.368852459016393,0.0093913508288004,0.618852459016393
115,PVNL,interneuron,GS,19,24,43,57,120,177,40.0,0.0005157164590907,215.061561705521,0.0027727696772326,1.37444629014396,0.0045203416171753,0.392454954954955,0.007732416362236,0.666197447447447,interneuron,GS,42,47,89,264,283,547,3076.0,0.0242029396028074,2391.63351950347,0.0188181279663824,inf,0.0048006227463522,0.285769428718477,0.0106030975225895,0.600080818965517
116,PVNR,interneuron,GS,30,40,70,88,117,205,12.0,0.0001547149377272,1367.62768777666,0.0176327027123676,1.41611295681063,0.0022885354368424,0.248641872127037,0.005327162432007,0.526910985927379,interneuron,GS,34,29,63,217,181,398,204.0,0.0016051364365971,1181.68349255864,0.0092978589727019,inf,0.0057847318872964,0.310362694300518,0.0110003906141091,0.611062176165803
117,AVG,interneuron,GS,22,31,53,84,95,179,80.0,0.0010314329181815,399.070232346003,0.0051451771788505,1.35850340136054,0.0034804472214638,0.353157121879589,0.0069238228736438,0.638988095238095,interneuron,GS,49,41,90,486,286,772,4091.0,0.0321892802064646,1766.59513399628,0.013900128521042,inf,0.0057233412388978,0.283266129032258,0.0135912702431404,0.605551160337553
118,DVB,interneuron,GS,12,13,25,62,121,183,11.0,0.0001418220262499,45.7354592204369,0.0005896632271013,1.33707482993197,0.011313107309366,0.615916955017301,0.0145535891132891,0.739368998628258,interneuron,GS,15,23,38,65,94,159,19.0,0.0001494980014477,90.6066183867885,0.0007129214929876,inf,0.0060789478856601,0.497822931785196,0.0090697556736864,0.715018908698001
119,RIBL,interneuron,GS,35,28,63,271,135,406,1254.5,0.016174157448235,895.352735381567,0.0115437035582059,1.32619047619048,0.003646648196236,0.241325737959606,0.0090853000341717,0.552883729500645,interneuron,GS,26,15,41,307,63,370,150.0,0.0011802473798508,2480.50835203096,0.0195174232212174,inf,0.0044103386309384,0.203841387856258,0.0102425884559275,0.493841092818788
120,RIBR,interneuron,GS,34,31,65,285,120,405,1285.0,0.0165673912482917,1089.15048092518,0.0140423207359941,1.34072104018913,0.0035133433202582,0.249148418491484,0.0087205861309375,0.547477103853465,interneuron,GS,33,23,56,451,148,599,4508.0,0.0354703679224499,4695.17724724741,0.0369431376266595,inf,0.0050819906580918,0.213346482577252,0.0140557404972731,0.463782731776362
121,RIGL,interneuron,GS,30,29,59,203,220,423,3273.5,0.0422049457208427,1345.11466577499,0.0173424443126144,1.28436147186147,0.0026983299732265,0.187278106508876,0.0068429693104718,0.503974358974359,interneuron,GS,16,21,37,133,212,345,2723.5,0.021429358260158,1965.88269894086,0.0154681860301267,inf,0.0029872532218776,0.148854961832061,0.0075552712489495,0.388462377317339
122,RIGR,interneuron,GS,25,27,52,225,205,430,1684.0,0.0217116629277223,782.819824871244,0.0100928267047168,1.29670715087382,0.0031843817492206,0.188837920489297,0.0077618753653693,0.501968654434251,interneuron,GS,21,17,38,216,183,399,5014.0,0.03945173575048,1643.2334273277,0.0129294796472453,inf,0.0032126642441687,0.150724637681159,0.0082233204347609,0.39900707384403
123,RMGL,interneuron,GS,26,33,59,85,118,203,619.0,0.00798071220443,853.886796166349,0.0110090868745823,1.32584008780817,0.0014326328768459,0.152622274602239,0.0045046498566673,0.499287959143587,interneuron,GS,14,21,35,45,124,169,756.0,0.0059484467944481,1429.45769966376,0.0112474246975715,inf,0.0021662893649048,0.199486301369863,0.0056702571715714,0.321766409266409
124,RMGR,interneuron,GS,20,33,53,63,124,187,57.0,0.0007348959542043,583.044224991247,0.0075171375801455,1.23792270531401,0.0017576570433939,0.187454145267792,0.004585393911019,0.521307165566153,interneuron,GS,11,16,27,38,88,126,94.0,0.0007396216913731,1002.28949786849,0.0078863303580751,inf,0.0016368615863537,0.0953757225433526,0.0037576687337917,0.244147398843931
125,AIBL,interneuron,GS,38,31,69,286,198,484,2419.0,0.0311879528635156,1133.16535042727,0.0146098005521682,1.22587719298246,0.0029112091085485,0.192688172043011,0.0082236917568002,0.489563365282215,interneuron,GS,23,15,38,303,136,439,3088.0,0.0242973593931955,1114.11512373038,0.0087662097042329,inf,0.003860484234878,0.181492109038737,0.0099861742566142,0.326822251082251
126,AIBR,interneuron,GS,38,35,73,321,164,485,2966.0,0.0382403754415822,1532.36463998201,0.0197566416541865,1.20374149659864,0.0026320062597643,0.17191097467383,0.0069604248168413,0.511943591711435,interneuron,GS,20,18,38,214,120,334,1936.0,0.0152330595159412,2934.00584265244,0.0230856847217169,inf,0.0024708142166083,0.124277456647399,0.0052695012628497,0.285454800899165
127,RICL,interneuron,GS,20,23,43,99,107,206,506.0,0.0065238132074985,386.480012776786,0.0049828525924652,1.28174603174603,0.0019591456437866,0.168533034714446,0.0051772839459532,0.450597237775289,interneuron,GS,16,16,32,137,112,249,1522.0,0.011975576747553,1706.25907837181,0.0134253853773,inf,0.0018707531582184,0.115541922290389,0.0049539460782787,0.326146654981011
128,RICR,interneuron,GS,24,26,50,114,108,222,622.0,0.0080193909388618,513.349800859708,0.0066185735393582,1.28333333333333,0.0021680565762141,0.192751235584843,0.0058124795377853,0.521142229544207,interneuron,GS,15,18,33,134,173,307,4212.0,0.0331413464262109,1717.9710080596,0.01351753853948,inf,0.0029246510895578,0.141491395793499,0.0078756634417875,0.387377841512641
129,SAADL,interneuron,GS,17,13,30,81,62,143,439.0,0.0056599881385214,215.768623375466,0.0027818857607522,1.27083333333333,0.0023629887701786,0.196261682242991,0.0054444809516676,0.480003894080997,interneuron,GS,12,0,12,158,0,158,0.0,0.0,0.0,0.0,inf,0.002913407361496,0.0984848484848485,0.0037858562034886,0.14229797979798
130,SAADR,interneuron,GS,15,17,32,72,91,163,681.0,0.0087800727160207,261.226147212286,0.0033679655915562,1.2518115942029,0.0028813302124114,0.217659137577002,0.0063888320653761,0.531913073237509,interneuron,GS,11,0,11,126,0,126,0.0,0.0,0.0,0.0,inf,0.0033291468444752,0.163636363636364,0.00482812051983,0.240454545454545
131,SAAVL,interneuron,GS,15,13,28,83,160,243,1741.0,0.0224465588819267,129.619143245223,0.0016711681396202,1.23863636363636,0.0044946562572897,0.227027027027027,0.0082742580962611,0.457702702702703,interneuron,GS,9,7,16,95,158,253,3146.0,0.0247537217134045,570.90582113645,0.0044920673302524,inf,0.0060628821105579,0.15948275862069,0.008605301652044,0.239224137931034
132,SAAVR,interneuron,GS,17,20,37,82,143,225,5530.0,0.071297800469302,454.64877023961,0.0058617463479488,1.08333333333333,0.0040523535679499,0.318740399385561,0.0080021244601748,0.503587820670437,interneuron,GS,14,10,24,141,152,293,4261.0,0.0335268939036289,745.216087751375,0.0058635955666082,inf,0.0043096927716606,0.195167286245353,0.0078419185457247,0.352850061957869
133,AVKL,interneuron,GS,30,37,67,173,117,290,1307.0,0.0168510353007916,1144.98527279684,0.0147621937649473,1.3125,0.0023817410252806,0.169107551487414,0.0062441545040511,0.510240274599542,interneuron,GS,27,34,61,182,94,276,755.0,0.0059405784785824,3603.88334535006,0.0283564925042494,inf,0.0018684434982359,0.138597459966869,0.0054824463975469,0.446797349530646
134,AVKR,interneuron,GS,24,27,51,140,103,243,1701.0,0.0219308424228359,620.019983332592,0.0079938627592454,1.35542455101353,0.0027292206998052,0.210987261146497,0.0062623713204779,0.542024946921444,interneuron,GS,30,29,59,196,151,347,1099.0,0.0086472791363736,5306.89898069712,0.0417563574473383,inf,0.001950358696542,0.12189349112426,0.0051035647933314,0.364838804358035
135,DVC,interneuron,GS,29,32,61,183,252,435,5796.5,0.0747337613779944,1335.3888047048,0.0172170496467961,1.28707482993197,0.0038386938128178,0.217331118493909,0.0083251511310347,0.559551495016611,interneuron,GS,31,37,68,110,236,346,229.0,0.0018018443332389,3829.64997589367,0.030132895665295,inf,0.0032028376940028,0.240230905861456,0.0076068891695805,0.551210035523979
136,AVJL,interneuron,GS,37,27,64,188,125,313,1875.0,0.0241742090198809,611.342426336005,0.0078819837850494,1.3125,0.0041916893252417,0.306265664160401,0.0084826393728221,0.613680033416875,interneuron,GS,22,22,44,100,106,206,56.0,0.0004406256884776,1537.98378433689,0.0121013422114444,inf,0.0031237137836152,0.216129032258065,0.0055464078679845,0.420700204813108
137,AVJR,interneuron,GS,33,27,60,124,101,225,40.0,0.0005157164590907,557.232012323344,0.0071843430071857,1.35119047619048,0.0039339437597241,0.314179531160663,0.0074570821613964,0.625771869639794,interneuron,GS,15,18,33,76,87,163,0.0,0.0,162.983761203954,0.0012824077141279,inf,0.0055158397108126,0.348927875243665,0.0084293963609502,0.62946718648473
138,PVT,interneuron,GS,40,37,77,176,186,362,1771.5,0.0228397926819834,2603.65285202654,0.0335686657387192,1.29465058750773,0.0029341635117063,0.20611610228058,0.0069832718051255,0.544980995162405,interneuron,GS,13,19,32,70,119,189,1374.0,0.0108110659994335,737.239748536296,0.0058008352102122,inf,0.0047236410379732,0.299586776859504,0.0087615554587663,0.574982782369146
139,AVDL,interneuron,GS,43,36,79,316,191,507,1414.5,0.0182370232845981,951.658904299931,0.0122696540096946,1.2518315018315,0.0037472662259402,0.20754408883083,0.0088381463816416,0.560360875244938,interneuron,GS,25,26,51,252,147,399,1722.0,0.0135492399206874,970.4291998502,0.0076356434696928,inf,0.0050206816666641,0.201740506329114,0.0098630112881418,0.491580959915612
140,AVDR,interneuron,GS,50,41,91,293,211,504,389.0,0.0050153425646579,1477.93945615551,0.0190549425769773,1.2411158493248,0.0031975894214592,0.174644084437899,0.0077766271678111,0.53391834396989,interneuron,GS,25,33,58,199,161,360,7520.0,0.0591697353098543,857.877105385566,0.0067500480391021,inf,0.0040857461725429,0.203771289537713,0.0086325696356622,0.524315693430657
141,AVL,interneuron,GS,27,26,53,166,154,320,2031.0,0.026185503210335,678.022777752072,0.00874168765313,1.32874149659864,0.0039064760033492,0.24834680382072,0.0075202120420631,0.54005020818026,interneuron,GS,26,24,50,114,110,224,1623.0,0.0127702766499858,1775.33676044721,0.0139689103991377,inf,0.0026658585822692,0.239850869925435,0.0051410995203132,0.480433581883458
142,PVWL,interneuron,GS,12,9,21,44,30,74,18.0,0.0002320724065908,12.5077243276671,0.0001612609825387,1.3541366041366,0.0065947676634803,0.578817733990148,0.0088088665405156,0.777504105090312,interneuron,GS,7,4,11,29,11,40,0.0,0.0,9.30428986401086,7.32090915558089e-05,inf,0.0045569281774403,0.411764705882353,0.0057706494808633,0.53921568627451
143,PVWR,interneuron,GS,14,13,27,47,48,95,0.0,0.0,76.3129990672487,0.000983896741539,1.3541366041366,0.0060936497093703,0.497050147492625,0.0086216504333584,0.73180924287119,interneuron,GS,9,4,13,24,7,31,0.0,0.0,21.5134028657656,0.0001692742490932,inf,0.0038513717502987,0.412162162162162,0.0055792487641509,0.655405405405405
144,RIAL,interneuron,GS,37,29,66,442,408,850,2373.0,0.0305948789355612,897.495819593203,0.0115713341532349,1.21527777777778,0.0052449894630074,0.205647058823529,0.0126007991131756,0.541137254901961,interneuron,GS,30,23,53,599,523,1122,2730.0,0.0214805023132849,1683.74654804233,0.0132482496777321,inf,0.0089285507909717,0.213553113553114,0.0217037701441361,0.4667599819025
145,RIAR,interneuron,GS,39,28,67,421,457,878,3705.0,0.0477682370232846,706.103623907162,0.0091037315168144,1.21572104018913,0.0059559477339979,0.247260273972603,0.0137116857062008,0.552180420711974,interneuron,GS,28,26,54,623,698,1321,9595.0,0.0754964907311239,1754.97473262752,0.0138086955325868,inf,0.0090990797007528,0.182780522230064,0.0213942833584237,0.491717074973956
146,RIML,interneuron,GS,32,29,61,259,226,485,3224.5,0.0415731930584565,557.385100982231,0.0071863167657129,1.18333333333333,0.0057826836560702,0.309734513274336,0.0121588473207948,0.602268244575937,interneuron,GS,20,20,40,257,211,468,6399.5,0.0503532873823687,2018.72933327836,0.0158840000415318,inf,0.0039322953898279,0.157792207792208,0.0105437693825944,0.450112863327149
147,RIMR,interneuron,GS,31,27,58,289,192,481,4711.0,0.060738505969418,634.771226886887,0.0081840492365705,1.20833333333333,0.0046757793273584,0.272477064220183,0.0106158220492756,0.602344546381243,interneuron,GS,16,23,39,221,240,461,8569.5,0.0674275328108772,1672.32803583233,0.0131584052169478,inf,0.004510091855179,0.176470588235294,0.0118273779595889,0.464906195036154
148,AVEL,interneuron,GS,54,35,89,343,163,506,1246.0,0.0160645677006782,2134.89569855814,0.0275250212547141,1.28333333333333,0.0021602320299701,0.154132443531828,0.0069882868389648,0.507518394934976,interneuron,GS,31,17,48,322,131,453,10155.0,0.0799027476159003,2806.59505805646,0.0220831764238226,inf,0.0025826815617423,0.11541889483066,0.0081951742752405,0.391221033868093
149,AVER,interneuron,GS,53,36,89,347,185,532,4657.5,0.0600487352053841,2237.45404512985,0.0288472969383183,1.2547619047619,0.0025050624539786,0.160585817060637,0.0073577622809582,0.519000513874615,interneuron,GS,19,21,40,185,165,350,1362.0,0.0107166462090454,1687.1548819267,0.01327506752531,inf,0.0029108410565863,0.12015503875969,0.0078584067719192,0.348528054632706
150,RMFL,interneuron,GS,16,16,32,53,56,109,61.0,0.0007864676001134,146.407085593185,0.0018876135941979,1.34026316473125,0.0031930304643999,0.319958847736626,0.0058628256259857,0.593655692729767,interneuron,GS,8,0,8,25,0,25,0.0,0.0,0.0,0.0,inf,0.0038485465014368,0.339285714285714,0.0065993814977511,0.517857142857143
151,RMFR,interneuron,GS,10,6,16,47,26,73,1.0,1.28929114772698e-05,46.4484205125034,0.0005988553739267,1.42784225231034,0.0045470605034247,0.330508474576271,0.0079075024265465,0.606991525423729,interneuron,GS,7,5,12,43,15,58,0.0,0.0,168.302947539189,0.0013242607523619,inf,0.0043305372130566,0.21875,0.0082791980093657,0.475130208333333
152,RID,interneuron,GS,23,18,41,81,46,127,57.0,0.0007348959542043,637.883193163379,0.0082241715422936,1.44047619047619,0.0019676551993187,0.181874229346486,0.0042966520213221,0.338023777041512,interneuron,GS,9,5,14,34,21,55,355.0,0.0027932521323136,893.852072551986,0.0070331104440246,inf,0.0014990541906809,0.120689655172414,0.001039264622367,0.10632183908046
