,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
26,URXR,sensory,GS,23,27,50,89,144,233,484.0,0.0062401691549985,538.616517416116,0.0069443350792413,1.26572104018913,0.0025731699716328,0.218001651527663,0.0061393785485625,0.547722268097991,sensory,GS,8,13,21,22,68,90,367.0,0.0028876719227016,931.37901822097,0.0073283843060221,inf,0.00113073631021,0.0980392156862745,0.0020857852122613,0.17593954248366
27,ALNL,sensory,GS,4,9,13,20,27,47,0.0,0.0,10.7358338018205,0.0001384161548415,1.36363636363636,0.0049727882295724,0.413333333333333,0.0071977670468508,0.641111111111111,sensory,GS,3,8,11,10,61,71,0.0,0.0,85.1777673738766,0.0006702055784304,inf,0.0047921423188835,0.25,0.0076625394917254,0.34212962962963
28,ALNR,sensory,GS,11,10,21,43,45,88,9.0,0.0001160362032954,89.5018184084271,0.0011539390217945,1.25,0.002686403713129,0.257425742574257,0.0040029466725926,0.387458745874587,sensory,GS,1,6,7,1,21,22,0.0,0.0,5.86342074379159,4.61352464654863e-05,inf,0.0039709563328482,0.3,0.0056277869513784,0.4375
29,PLNL,sensory,GS,7,6,13,31,29,60,163.0,0.0021015445707949,62.0745847055083,0.0008003221255964,1.24583333333333,0.0025431481404144,0.191780821917808,0.003446947161899,0.252853881278539,sensory,GS,4,8,12,12,86,98,3.0,2.36049475970163e-05,94.5188571989237,0.0007437042237034,inf,0.0033720932738204,0.2109375,0.0041798834061065,0.255208333333333
30,PLNR,sensory,GS,6,9,15,25,41,66,327.0,0.0042159820530672,75.5615687792979,0.0009742086173551,1.3768115942029,0.0018779886182552,0.151515151515152,0.0029771623552757,0.230639730639731,sensory,GS,5,5,10,22,40,62,11.0,8.65514745223932e-05,204.697162629169,0.0016106219323731,inf,0.0025413168805071,0.127906976744186,0.0026529593735267,0.122093023255814
31,SDQL,sensory,GS,8,21,29,36,65,101,26.5,0.0003416621541476,113.943711716262,0.0014690661885493,1.35119047619048,0.002984731457327,0.293233082706767,0.0060035619854213,0.598036758563074,sensory,GS,3,3,6,26,15,41,0.0,0.0,7.17099372033196,5.6423643662323e-05,inf,0.0134307749527742,0.5,0.0087822133606399,0.307692307692308
32,SDQR,sensory,GS,13,19,32,46,121,167,299.0,0.0038549805317036,387.711248844183,0.0049987268100897,1.32668067226891,0.0025734867785399,0.194845360824742,0.0057479570043267,0.47014236622484,sensory,GS,6,13,19,66,188,254,1333.0,0.0104884650489409,426.899846319907,0.0033589828338519,inf,0.0111813280350324,0.328313253012048,0.0159123629053442,0.279040404040404
33,AQR,sensory,GS,13,22,35,149,201,350,1660.0,0.0214022330522679,156.445545098592,0.0020170385639693,1.33023088921706,0.0070761964365633,0.370719178082192,0.0118558343234516,0.664740296803653,sensory,GS,7,16,23,22,64,86,677.0,0.00532684984106,240.21226298359,0.0018900659599627,inf,0.0038639095299412,0.271084337349398,0.0068527025898604,0.47623828647925
34,PQR,sensory,GS,11,19,30,81,164,245,2592.0,0.0334184265490833,28.1694620715326,0.0003631863808505,1.24944629014396,0.0107733716825506,0.591981132075472,0.0145347681273297,0.787146226415094,sensory,GS,30,34,64,226,353,579,1450.0,0.0114090580052246,1468.15262795968,0.0115518886158034,inf,0.0057309121830387,0.248369292523833,0.0117544328470059,0.57936109717344
35,ALML,sensory,GS,17,18,35,36,74,110,18.0,0.0002320724065908,311.899931027226,0.0040212982005005,1.36712361712362,0.0023831828228353,0.286449399656947,0.0052998305440177,0.51787556415216,sensory,GS,5,7,12,40,101,141,2923.0,0.0229990872753596,388.944273951429,0.0030603364015943,inf,0.0031439082390285,0.174603174603175,0.004349284474683,0.247354497354497
