Neuron,Community
ADFL,1
ADFR,1
ADLL,1
ADLR,1
AFDL,1
AFDR,1
ALML,2
ALMR,2
ALNL,5
ALNR,5
AQR,2
ASEL,1
ASER,1
ASGL,1
ASGR,1
ASHL,1
ASHR,1
ASIL,1
ASIR,1
ASJL,1
ASJR,1
ASKL,1
ASKR,1
AUAL,7
AUAR,3
AVM,2
AWAL,1
AWAR,1
AWBL,1
AWBR,1
AWCL,1
AWCR,1
BAGL,3
BAGR,3
DVA,2
FLPL,5
FLPR,5
IL2DL,6
IL2DR,6
IL2L,6
IL2R,6
IL2VL,6
IL2VR,6
OLLL,3
OLLR,7
OLQDL,6
OLQDR,6
OLQVL,6
OLQVR,6
PLNL,5
PLNR,5
SAADL,5
SAADR,5
SAAVL,5
SAAVR,5
SDQL,5
SDQR,2
URBL,7
URBR,7
URXL,7
URXR,3
URYDL,4
URYDR,4
URYVL,3
URYVR,4
ADAL,2
ADAR,2
AIAL,1
AIAR,1
AIBL,1
AIBR,1
AINL,3
AINR,3
AIYL,1
AIYR,1
AIZL,1
AIZR,1
AVAL,5
AVAR,5
AVBL,2
AVBR,2
AVDL,1
AVDR,1
AVEL,7
AVER,3
AVJL,2
AVJR,2
BDUL,2
BDUR,2
PVCL,2
PVCR,2
PVPL,2
PVPR,2
PVR,2
PVT,3
RIAL,4
RIAR,4
RIBL,3
RIBR,3
RIFL,2
RIFR,2
RIGL,3
RIGR,3
RIH,6
RIML,5
RIMR,5
RIPL,6
RIPR,6
RIR,2
IL1DL,6
IL1DR,6
IL1L,4
IL1R,4
IL1VL,6
IL1VR,6
RIVL,4
RIVR,4
RMDDL,4
RMDDR,4
RMDL,4
RMDR,4
RMDVL,4
RMDVR,4
RMED,6
RMEL,6
RMER,6
RMEV,6
RMFL,3
RMFR,3
RMHL,3
RMHR,3
SIADL,4
SIADR,4
SIAVL,4
SIAVR,4
SIBDL,6
SIBDR,6
SIBVL,6
SIBVR,2
SMBDL,5
SMBDR,5
SMBVL,1
SMBVR,5
SMDDL,4
SMDDR,4
SMDVL,4
SMDVR,4
URADL,6
URADR,6
URAVL,6
URAVR,6
ADEL,3
ADER,3
AIML,1
AIMR,1
ALA,1
AVFL,2
AVFR,2
AVHL,2
AVHR,2
AVKL,3
AVKR,3
AVL,3
CEPDL,3
CEPDR,7
CEPVL,3
CEPVR,7
DVC,3
HSNL,2
HSNR,1
PVNL,2
PVNR,2
PVQL,1
PVQR,1
RICL,5
RICR,7
RID,2
RIS,3
RMGL,7
RMGR,4
