Community,Neurons
1,"AQR, PHAL, PHAR, AVFL, AVFR, AVHL, AVHR, PVPL, PVPR, AVG
DVB, AVKL, AVKR, DVC, PVT, AVL, RMFL, RMFR, DA08, DA09
PDA, AS10, AS11, PDB, DD06, VA11, VA12, VB08, VB09, VB10
VB11, VD10, VD11, VD12, VD13, VC04, VC05, VC06"
2,"PVDL, PVDR, ALA"
3,"ASIL, ASIR, ASJL, ASJR, AWAL, AWAR, ASGL, ASGR, AWBL, AWBR
ASEL, ASER, ADFL, ADFR, AFDL, AFDR, AWCL, AWCR, ASKL, ASKR, ASHL, ASHR, ADLL, ADLR, PLNR, AINL, AIML, AIMR, RIR
AIYL, AIYR, AIAL, AIAR, AIZL, AIZR, PVQL, PVQR, ADAL, ADAR, RIFR, AIBL, AIBR, SAADL, SAADR, SAAVL, SAAVR, RIML, RIMR, SMBVL, SMBVR, VB01, HSNL, HSNR"
4,"BAGL, BAGR, URXL, URXR, ALNL, PLNL, ADEL, ADER, IL2DL, IL2DR, IL2L, IL2R, IL2VL, IL2VR, CEPDL, CEPDR, CEPVL, CEPVR, URYDL, URYDR, URYVL, URYVR, OLLL, OLLR, OLQDL, OLQDR
OLQVL, OLQVR, IL1DL, IL1DR, IL1L, IL1R, IL1VL, IL1VR, AINR, RIH, URBL, URBR, AUAL, AUAR, RIS, RIBL, RIBR, RIGL, RIGR, RMGL, RMGR, RICL, RICR, RIAL, RIAR, AVEL, AVER, RIPL, RIPR, URADL, URADR, URAVL, URAVR, RMEL, RMER, RMED, RMEV, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, RIVL, RIVR, RMHL, RMHR, SMDDL, SMDDR, SMDVL, SMDVR, SMBDL, SMBDR, SIBDL, SIBDR, SIBVL, SIBVR, SIADL, SIADR, SIAVL, SIAVR"
5,"SABD, DA01, DA02, DA03, DA04, DA05, DA06, DA07, DB01, DB02, DB03, DB04, DB05, DB06, AS01, AS02, AS03, AS04, AS05, AS06, AS07, AS08, AS09, DD01, DD02, DD03, DD04, DD05,  VA01, VA02, VA03, VA04, VA05, VA06, VA07, VA08, VB02, VB03
VB04, VB05, VB06, VB07, VD01, VD02, VD03, VD04, VD05, VD06
VD07, VD08, VD09, VC01, VC02, VC03"
6,"ALNR, SDQL, SDQR, PQR, ALML, ALMR, AVM, PVM, PLML, PLMR
FLPL, FLPR, DVA, PDEL, PDER, PHBL, PHBR, PHCL, PHCR
RIFL, BDUL, BDUR, PVR, LUAL, LUAR, PVNL, PVNR, AVJL, AVJR, AVDL, AVDR, PVWL, PVWR, RID, AVBL, AVBR, AVAL, AVAR, PVCL, PVCR, SABVL, SABVR, DB07, VA09, VA10"
