cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
RIV,Motor neuron,GS,RIVL,9,7,16,15,24,39,217,0.00681062080220953,70.7824717596464,0.00222153260183436,3.6765984015984,0.0148516366515523,0.134453781512605,0.0208719073618824,0.213305322128852
RIV,Motor neuron,GS,RIVR,9,11,20,16,23,39,27,0.000847404431611324,74.3528728007384,0.00233359088571773,3.71068931068931,0.022655062057725,0.226063829787234,0.0371849478616685,0.419842325227963
RMD,Motor neuron,GS,RMDDL,21,6,27,116,14,130,374,0.0117381206452828,449.395775614453,0.0141044434001147,4.14521312021312,0.028870810305057,0.235549132947977,0.0516385769373355,0.27393018018018
RMD,Motor neuron,GS,RMDDR,21,5,26,123,20,143,496.5,0.0155828259368527,368.78233200425,0.0115743623126059,4.05755078255078,0.036101687861693,0.246105919003115,0.06150648667828,0.323076923076923
RMD,Motor neuron,GS,RMDL,22,12,34,95,36,131,626,0.0196472286736551,975.024835199266,0.0306014950473688,3.64857729989309,0.0281421353880901,0.22554347826087,0.0542660450483433,0.492013888888889
RMD,Motor neuron,GS,RMDR,26,12,38,108,38,146,1243,0.0390119892034398,514.099748185463,0.0161352001815788,3.65620213120213,0.0252557187178298,0.208333333333333,0.0543403066329826,0.519415366721401
RMD,Motor neuron,GS,RMDVL,16,4,20,128,21,149,800,0.0251082794551503,90.9787309261742,0.00285539925071164,3.98612221112221,0.0405139817528187,0.188829787234043,0.0571329284566956,0.297562056737589
RMD,Motor neuron,GS,RMDVR,18,3,21,119,20,139,680,0.0213420375368778,130.131749929475,0.00408423042902126,4.02021312021312,0.0329473426513468,0.185990338164251,0.0552565370955105,0.328910743041178
RME,Motor neuron,GS,RMED,17,4,21,34,6,40,269,0.0084426589667943,324.571407884394,0.0101867870153912,4.13880286380286,0.0105842712525992,0.185096153846154,0.0173805648170137,0.136519607843137
RME,Motor neuron,GS,RMEL,14,1,15,32,1,33,0,0,0,0,Inf,0.0125723239325729,0.216346153846154,0.0119312982915472,0.0961538461538462
RME,Motor neuron,GS,RMER,19,3,22,41,3,44,4,0.000125541397275752,65.9230106133464,0.00206901671625593,4.85620213120213,0.0116340997807881,0.208695652173913,0.0199799637449674,0.27719298245614
RME,Motor neuron,GS,RMEV,16,0,16,33,0,33,0,0,0,0,Inf,0.00666939230762314,0.120833333333333,0.0116937006421287,0.204166666666667
RMF,Motor neuron,GS,RMFL,12,7,19,41,25,66,329.5,0.01034147260059,197.539199316027,0.00619983677471682,3.30757575757576,0.0294543004846323,0.291666666666667,0.0541275876649542,0.56468253968254
RMF,Motor neuron,GS,RMFR,17,15,32,40,35,75,369,0.0115811938986881,647.186131038304,0.0203121627970091,3.17424242424242,0.0172535539244877,0.203665987780041,0.0410349812110927,0.513900203665988
RMH,Motor neuron,GS,RMHL,15,6,21,26,10,36,0,0,320.020323778177,0.0100439496509377,3.72424242424242,0.0114014200242684,0.189320388349515,0.019876265531398,0.345995145631068
RMH,Motor neuron,GS,RMHR,18,7,25,36,16,52,268,0.00841127361747536,477.903823881029,0.0149991784533623,3.50757575757576,0.0140991439734763,0.211864406779661,0.027803477041505,0.432768361581921
SIA,Motor neuron,GS,SIADL,8,0,8,17,0,17,0,0,0,0,Inf,0.0202211030366898,0.214285714285714,0.0329897131818295,0.391666666666667
SIA,Motor neuron,GS,SIADR,4,0,4,15,0,15,0,0,0,0,Inf,0.0119150791252963,0.25,0.00913730134751851,0.166666666666667
SIA,Motor neuron,GS,SIAVL,9,0,9,24,0,24,0,0,0,0,Inf,0.0178491857296599,0.208333333333333,0.022275590000215,0.263888888888889
SIA,Motor neuron,GS,SIAVR,6,0,6,20,0,20,0,0,0,0,Inf,0.0312660872226278,0.2,0.0359866122552252,0.25
SIB,Motor neuron,GS,SIBDL,7,0,7,17,0,17,0,0,0,0,Inf,0.00886457036293129,0.0952380952380952,0.00721371018590597,0.0714285714285714
SIB,Motor neuron,GS,SIBDR,5,0,5,9,0,9,0,0,0,0,Inf,0,0,0,0
SIB,Motor neuron,GS,SIBVL,5,0,5,11,0,11,0,0,0,0,Inf,0,0,0,0
